Timestamp,Depth [cm],Force [Pounds],Force [Raw Reading]
0.005,0.0005773672055427252,2.7911546650000023,13.791154665000002
0.005,0.0011547344110854503,1.2314718700000018,12.231471870000002
0.005,0.0017321016166281756,3.2277048250000018,14.227704825000002
0.006,0.0023094688221709007,0.7801613050000018,11.780161305000002
0.006,0.002886836027713626,1.6762222550000008,12.676222255
0.006,0.003464203233256351,-1.2400759449999992,9.759924055
0.006,0.0040415704387990765,1.8939009550000012,12.893900955000001
0.007,0.004618937644341801,3.4473217600000012,14.447321760000001
0.007,0.005196304849884526,-0.3783068449999991,10.621693155
0.007,0.005773672055427252,5.377505630000002,16.37750563
0.007,0.006351039260969977,0.4036964300000019,11.403696430000002
0.007,0.006928406466512702,4.391093110000002,15.391093110000002
0.007,0.007505773672055427,4.367983385000002,15.367983385000002
0.007,0.008083140877598153,1.7640392100000017,12.764039210000002
0.007,0.008660508083140877,-0.35832811499999906,10.641671885000001
0.007,0.009237875288683603,2.6835080750000024,13.683508075000002
0.007,0.009815242494226328,0.6887660700000016,11.688766070000002
0.007,0.010392609699769052,2.140205895000001,13.140205895000001
0.007,0.010969976905311778,4.340400810000002,15.340400810000002
0.007,0.011547344110854504,-0.0012455899999981312,10.998754410000002
0.007,0.01212471131639723,3.4225719900000016,14.422571990000002
0.007,0.012702078521939953,1.7479369500000015,12.747936950000001
0.007,0.013279445727482679,2.6450415650000014,13.645041565000001
0.007,0.013856812933025405,-0.6174552249999987,10.382544775000001
0.007,0.014434180138568129,2.7124325050000024,13.712432505000002
0.008,0.015011547344110854,-0.9438241799999982,10.056175820000002
0.008,0.01558891454965358,0.9762212300000019,11.976221230000002
0.008,0.016166281755196306,1.6147951150000015,12.614795115000002
0.008,0.01674364896073903,1.4139641500000018,12.413964150000002
0.008,0.017321016166281754,3.976758105000002,14.976758105000002
0.008,0.01789838337182448,-0.36026634999999807,10.639733650000002
0.008,0.018475750577367205,1.579608695000001,12.579608695000001
0.008,0.01905311778290993,-1.3508535299999984,9.649146470000002
0.008,0.019630484988452657,2.7179490200000025,13.717949020000002
0.008,0.02020785219399538,-0.18582519999999825,10.814174800000002
0.008,0.020785219399538105,0.8851241850000022,11.885124185000002
0.008,0.021362586605080832,1.8345611450000021,12.834561145000002
0.008,0.021939953810623556,2.120227165000001,13.120227165000001
0.008,0.022517321016166283,2.344615140000002,13.344615140000002
0.008,0.023094688221709007,1.0373501800000007,12.03735018
0.008,0.02367205542725173,4.542871820000002,15.542871820000002
0.008,0.02424942263279446,0.6319608750000008,11.631960875
0.008,0.024826789838337183,2.4430178400000013,13.443017840000001
0.008,0.025404157043879907,1.429470030000001,12.429470030000001
0.008,0.025981524249422634,1.7533043700000022,12.753304370000002
0.008,0.026558891454965358,-0.34297132999999924,10.65702867
0.008,0.027136258660508082,3.6359269350000023,14.635926935000002
0.008,0.02771362586605081,1.3933890400000024,12.393389040000002
0.008,0.028290993071593534,3.0556491950000026,14.055649195000003
0.008,0.028868360277136258,2.563933885000001,13.563933885
0.009,0.029445727482678985,1.5474041750000023,12.547404175000002
0.009,0.03002309468822171,2.992432915000002,13.992432915000002
0.009,0.030600461893764433,-0.21176772999999827,10.788232270000002
0.009,0.03117782909930716,1.5760304150000017,12.576030415000002
0.009,0.03175519630484989,1.7802905650000014,12.780290565000001
0.009,0.03233256351039261,1.180183190000001,12.180183190000001
0.009,0.032909930715935336,2.497139325000001,13.497139325000001
0.009,0.03348729792147806,2.295711980000002,13.295711980000002
0.009,0.034064665127020784,1.7410785800000017,12.741078580000002
0.009,0.03464203233256351,1.5305564400000016,12.530556440000002
0.009,0.03521939953810624,4.2539257100000025,15.253925710000003
0.009,0.03579676674364896,5.306387315000002,16.306387315000002
0.009,0.036374133949191687,2.505637740000001,13.505637740000001
0.009,0.03695150115473441,0.03230078500000211,11.032300785000002
0.009,0.037528868360277134,6.133566375000001,17.133566375
0.009,0.03810623556581986,0.0728546250000015,11.072854625000002
0.009,0.03868360277136259,3.1582265550000024,14.158226555000002
0.009,0.03926096997690531,2.268725785000001,13.268725785
0.009,0.03983833718244804,2.412900650000001,13.412900650000001
0.009,0.04041570438799076,2.9661921950000014,13.966192195000001
0.009,0.040993071593533485,-0.506379449999999,10.493620550000001
0.009,0.04157043879907621,2.7362877050000023,13.736287705000002
0.01,0.04214780600461894,0.09164059500000121,11.091640595000001
0.01,0.042725173210161664,3.192965690000001,14.192965690000001
0.01,0.04330254041570439,0.07658200000000193,11.076582000000002
0.01,0.04387990762124711,2.1482570250000013,13.148257025000001
0.01,0.044457274826789836,0.4938989050000018,11.493898905000002
0.01,0.04503464203233257,-0.15839171999999913,10.84160828
0.01,0.04561200923787529,0.2707036900000013,11.270703690000001
0.01,0.046189376443418015,1.5323455800000012,12.532345580000001
0.01,0.04676674364896074,3.1780561900000013,14.178056190000001
0.01,0.04734411085450346,0.4200968800000009,11.420096880000001
0.01,0.04792147806004619,1.8311319600000022,12.831131960000002
0.01,0.04849884526558892,2.173155890000002,13.173155890000002
0.01,0.04907621247113164,1.1186069550000024,12.118606955000002
0.01,0.049653579676674366,-0.370255714999999,10.629744285000001
0.01,0.05023094688221709,2.0871280750000025,13.087128075000003
0.01,0.050808314087759814,1.123825280000002,12.123825280000002
0.01,0.05138568129330254,2.2011857500000023,13.201185750000002
0.01,0.05196304849884527,2.1627192400000013,13.162719240000001
0.01,0.05254041570438799,0.5677009300000009,11.56770093
0.01,0.053117782909930716,2.2964574550000023,13.296457455000002
0.01,0.05369515011547344,0.6488086100000015,11.648808610000001
