Timestamp,Depth [cm],Force [Pounds],Force [Raw Reading]
0.004,0.0005773672055427252,0.9301508750000007,11.930150875
0.004,0.0011547344110854503,1.0956463250000024,12.095646325000002
0.004,0.0017321016166281756,1.0433139800000006,12.04331398
0.005,0.0023094688221709007,1.1998637300000023,12.199863730000002
0.005,0.002886836027713626,5.760530685000003,16.760530685000003
0.005,0.003464203233256351,2.4427196500000026,13.442719650000003
0.005,0.0040415704387990765,2.127234630000002,13.127234630000002
0.005,0.004618937644341801,5.005811795000003,16.005811795000003
0.005,0.005196304849884526,4.083211935000001,15.083211935000001
0.006,0.005773672055427252,3.5173964100000017,14.517396410000002
0.006,0.006351039260969977,2.6426560450000025,13.642656045000003
0.006,0.006928406466512702,2.836330450000002,13.836330450000002
0.006,0.007505773672055427,3.485639175000001,14.485639175000001
0.006,0.008083140877598153,2.9946693400000015,13.994669340000002
0.006,0.008660508083140877,3.097693985000001,14.097693985000001
0.006,0.009237875288683603,-0.17822135499999803,10.821778645000002
0.007,0.009815242494226328,2.259780085000001,13.259780085000001
0.007,0.010392609699769052,2.6018040150000026,13.601804015000003
0.007,0.010969976905311778,1.0527069650000023,12.052706965000002
0.007,0.011547344110854504,1.1780958600000009,12.17809586
0.007,0.01212471131639723,1.1770521950000017,12.177052195000002
0.007,0.012702078521939953,2.705126850000001,13.705126850000001
0.007,0.013279445727482679,1.6970955550000024,12.697095555000002
0.007,0.013856812933025405,1.0278081000000014,12.027808100000001
0.008,0.014434180138568129,0.7428875550000011,11.742887555000001
0.008,0.015011547344110854,2.435861280000001,13.435861280000001
0.008,0.01558891454965358,-0.6350484349999981,10.364951565000002
0.008,0.016166281755196306,0.5325145100000022,11.532514510000002
0.008,0.01674364896073903,-0.08458969499999824,10.915410305000002
0.008,0.017321016166281754,2.539035020000002,13.539035020000002
0.008,0.01789838337182448,-0.6621837249999984,10.337816275000002
0.008,0.018475750577367205,0.7610771450000016,11.761077145000002
0.008,0.01905311778290993,4.823766800000001,15.823766800000001
0.009,0.019630484988452657,1.5210143600000023,12.521014360000002
0.009,0.02020785219399538,2.116648885000002,13.116648885000002
0.009,0.020785219399538105,-0.8454214799999988,10.154578520000001
0.009,0.021362586605080832,1.0428666950000007,12.042866695
0.009,0.021939953810623556,0.8897461300000007,11.88974613
0.009,0.022517321016166283,1.4163496700000007,12.41634967
0.009,0.023094688221709007,0.6222697000000021,11.622269700000002
0.009,0.02367205542725173,-1.2490216449999991,9.750978355
0.01,0.02424942263279446,-1.7402896699999992,9.25971033
0.01,0.024826789838337183,4.926344160000003,15.926344160000003
0.01,0.025404157043879907,3.7033178750000015,14.703317875000002
0.01,0.025981524249422634,2.823806470000001,13.823806470000001
0.01,0.026558891454965358,2.4345194250000013,13.434519425000001
0.01,0.027136258660508082,1.5065521450000023,12.506552145000002
0.01,0.02771362586605081,1.3145177850000014,12.314517785000001
0.01,0.028290993071593534,4.232605125000003,15.232605125000003
0.01,0.028868360277136258,2.4340721400000014,13.434072140000001
0.011,0.029445727482678985,3.4992068200000013,14.499206820000001
0.011,0.03002309468822171,4.089175735000001,15.089175735000001
0.011,0.030600461893764433,2.4281083400000014,13.428108340000001
0.011,0.03117782909930716,2.6116442850000023,13.611644285000002
0.011,0.03175519630484989,1.6877025700000008,12.68770257
0.011,0.03233256351039261,3.5686850900000024,14.568685090000002
0.011,0.032909930715935336,-0.2207134299999982,10.779286570000002
0.011,0.03348729792147806,2.0701312450000025,13.070131245000002
0.011,0.034064665127020784,1.7032084500000018,12.703208450000002
0.011,0.03464203233256351,2.195072855000001,13.195072855000001
0.011,0.03521939953810624,1.4521324700000022,12.452132470000002
0.011,0.03579676674364896,2.7443388350000024,13.744338835000002
0.011,0.036374133949191687,-0.28273694999999854,10.717263050000001
0.011,0.03695150115473441,2.011536910000002,13.011536910000002
0.011,0.037528868360277134,2.269322165000002,13.269322165000002
0.011,0.03810623556581986,1.999460215000001,12.999460215000001
0.012,0.03868360277136259,0.9589262100000013,11.958926210000001
0.012,0.03926096997690531,0.9526642200000008,11.95266422
0.041,0.03983833718244804,2.383976220000001,13.383976220000001
0.041,0.04041570438799076,3.100079505000002,14.100079505000002
0.041,0.040993071593533485,2.195669235000002,13.195669235000002
0.041,0.04157043879907621,4.640230855000002,15.640230855000002
0.041,0.04214780600461894,2.423486395000001,13.423486395000001
0.041,0.042725173210161664,0.5277434700000008,11.52774347
0.046,0.04330254041570439,1.5330910550000016,12.533091055000002
0.046,0.04387990762124711,2.8302175550000026,13.830217555000003
0.046,0.044457274826789836,-0.4288500499999994,10.57114995
0.046,0.04503464203233257,1.4625691200000013,12.462569120000001
0.046,0.04561200923787529,4.116460120000003,15.116460120000003
0.046,0.046189376443418015,1.1502150950000019,12.150215095000002
0.046,0.04676674364896074,1.482398755000002,12.482398755000002
0.046,0.04734411085450346,-0.17792316499999927,10.822076835
0.046,0.04792147806004619,-1.1887872649999984,9.811212735000002
0.047,0.04849884526558892,1.1496187150000008,12.149618715
0.047,0.04907621247113164,1.551131550000001,12.551131550000001
0.047,0.049653579676674366,-1.063994749999999,9.936005250000001
0.047,0.05023094688221709,2.1979056600000018,13.197905660000002
0.047,0.050808314087759814,3.504574240000002,14.504574240000002
0.047,0.05138568129330254,1.7014193100000021,12.701419310000002
0.047,0.05196304849884527,1.7943054950000015,12.794305495000001
0.047,0.05254041570438799,2.120227165000001,13.120227165000001
0.047,0.053117782909930716,3.2679604750000024,14.267960475000002
0.047,0.05369515011547344,3.836310615000002,14.836310615000002
