Timestamp (seconds),Temperature [Celsius],Temperature [Raw Reading]
0.203,16.94040189306274,46.94040189306274
0.405,16.939766900338093,46.93976690033809
0.607,16.939290655879503,46.9392906558795
0.811,16.937226930732855,46.937226930732855
1.013,16.938496915276815,46.938496915276815
1.215,16.93532195488698,46.93532195488698
1.417,16.934210719514446,46.93421071951445
1.619,16.934210719514446,46.93421071951445
1.825,16.932781988903223,46.93278198890322
2.026,16.931829502192805,46.931829502192805
2.228,16.93040077267287,46.93040077267287
2.43,16.92913079142707,46.92913079142707
2.641,16.928495800998142,46.92849580099814
2.843,16.928337053411106,46.928337053411106
3.045,16.92801955826137,46.92801955826137
3.246,16.925797093118213,46.92579709311821
3.449,16.92659083048744,46.92659083048744
3.662,16.923257134894712,46.92325713489471
3.864,16.920399684366807,46.92039968436681
4.065,16.922304651094393,46.92230465109439
4.267,16.919605948573896,46.919605948573896
4.469,16.920558431549658,46.92055843154966
4.675,16.918653465889108,46.91865346588911
4.876,16.917700983495315,46.917700983495315
5.077,16.916431007422958,46.91643100742296
5.279,16.91658975440376,46.91658975440376
5.482,16.91531977878403,46.91531977878403
5.683,16.916113513485747,46.91611351348575
5.887,16.911033614887124,46.911033614887124
6.089,16.911509855029124,46.911509855029124
6.292,16.912303588760743,46.91230358876074
6.494,16.909604894897676,46.909604894897676
6.695,16.91039862814428,46.91039862814428
6.898,16.90912865504668,46.90912865504668
7.099,16.908493668691882,46.90849366869188
7.3,16.906112471013223,46.90611247101322
7.502,16.905794978126785,46.905794978126785
7.707,16.905636231695738,46.90563623169574
7.919,16.903890021487385,46.903890021487385
8.121,16.903890021487385,46.903890021487385
8.323,16.903413782509396,46.903413782509396
8.524,16.90198506601199,46.90198506601199
8.726,16.903413782509396,46.903413782509396
8.93,16.90008011170064,46.90008011170064
9.131,16.90008011170064,46.90008011170064
9.334,16.897698920448285,46.897698920448285
9.536,16.897222682416057,46.89722268241606
9.737,16.897698920448285,46.897698920448285
9.94,16.895952714685784,46.895952714685784
10.143,16.89658769848628,46.89658769848628
10.345,16.892777797623516,46.892777797623516
10.546,16.894365255750472,46.89436525575047
10.748,16.89087284893811,46.89087284893811
10.95,16.89198406886311,46.89198406886311
11.152,16.889285392589485,46.889285392589485
11.353,16.890714103266887,46.89071410326689
11.555,16.890396611948667,46.89039661194867
11.763,16.888015428092586,46.88801542809259
11.973,16.890396611948667,46.89039661194867
12.175,16.8888091558425,46.8888091558425
12.377,16.886427973198877,46.88642797319888
12.579,16.887539191539602,46.8875391915396
12.781,16.885475500650664,46.885475500650664
12.994,16.885475500650664,46.885475500650664
13.196,16.882776830011075,46.882776830011075
13.397,16.883094320553305,46.883094320553305
13.6,16.88214184902362,46.88214184902362
13.801,16.880554397120754,46.880554397120754
14.003,16.87960192636705,46.87960192636705
14.205,16.881189377784878,46.88118937778488
14.407,16.878808200961203,46.8788082009612
14.609,16.87960192636705,46.87960192636705
14.813,16.877538240732257,46.87753824073226
15.015,16.87960192636705,46.87960192636705
15.217,16.877062005779756,46.877062005779756
15.418,16.874998321826304,46.874998321826304
15.619,16.875157066697284,46.875157066697284
15.822,16.873728363149283,46.87372836314928
16.024,16.873887107955603,46.8738871079556
16.227,16.873728363149283,46.87372836314928
16.429,16.872140915530515,46.872140915530515
16.63,16.874680832108524,46.874680832108524
16.833,16.870235979454982,46.87023597945498
17.034,16.8716646814025,46.8716646814025
17.236,16.87039472408346,46.87039472408346
17.438,16.869442256433707,46.86944225643371
17.639,16.869442256433707,46.86944225643371
17.841,16.869283511853688,46.86928351185369
18.042,16.8673785775241,46.8673785775241
18.244,16.867854810997386,46.867854810997386
18.446,16.867537322007124,46.867537322007124
18.649,16.86610862195105,46.86610862195105
18.85,16.864521178212186,46.864521178212186
19.052,16.864521178212186,46.864521178212186
19.253,16.86420368956142,46.86420368956142
19.454,16.86404494524814,46.86404494524814
19.657,16.862457502560083,46.86245750256008
19.862,16.860393828274006,46.860393828274006
20.064,16.862140014119475,46.862140014119475
20.266,16.861822525711197,46.8618225257112
20.467,16.86150503733525,46.86150503733525
20.669,16.858806387445092,46.85880638744509
20.87,16.858965131491594,46.858965131491594
21.071,16.859441363679665,46.859441363679665
21.273,16.85658397164252,46.85658397164252
21.475,16.854202813612105,46.854202813612105
21.677,16.85563150821209,46.85563150821209
21.882,16.85531402046663,46.85531402046663
22.083,16.8559489959899,46.8559489959899
22.285,16.854520301244442,46.85452030124444
22.487,16.853091607153637,46.85309160715364
22.69,16.853409094672777,46.85340909467278
22.891,16.85325035090915,46.85325035090915
23.093,16.851504170042872,46.85150417004287
23.294,16.852615375935528,46.85261537593553
23.496,16.851821657400357,46.85182165740036
23.698,16.850392964546288,46.85039296454629
23.902,16.849916733740415,46.849916733740415
24.105,16.850551708164424,46.850551708164424
24.307,16.849123015892296,46.849123015892296
24.508,16.84864678528045,46.84864678528045
24.709,16.847853067755615,46.847853067755615
24.911,16.84705935043292,46.84705935043292
25.113,16.845471916393656,46.845471916393656
25.315,16.8440432264495,46.8440432264495
25.517,16.84531317303422,46.84531317303422
25.718,16.84309076685041,46.84309076685041
25.921,16.84515442968285,46.84515442968285
26.126,16.842932023612164,46.842932023612164
26.329,16.842614537160017,46.84261453716002
26.53,16.843408253351093,46.84340825335109
26.732,16.842455793945987,46.84245579394599
26.936,16.84182082117094,46.84182082117094
27.139,16.842138307542335,46.842138307542335
27.341,16.838963445283554,46.838963445283554
27.543,16.839915903621716,46.839915903621716
27.744,16.8388047022555,46.8388047022555
27.951,16.838645959235542,46.83864595923554
