Timestamp (seconds),Temperature [Celsius],Temperature [Raw Reading]
0.203,16.039001196409487,46.03900119640949
0.405,16.037890280437573,46.03789028043757
0.612,16.03455753489633,46.03455753489633
0.815,16.034081428681226,46.034081428681226
1.018,16.032177004547613,46.03217700454761
1.22,16.028844265112348,46.02884426511235
1.423,16.028050756247964,46.028050756247964
1.624,16.023289707301956,46.023289707301956
1.836,16.022178796927136,46.022178796927136
2.038,16.019956977364707,46.01995697736471
2.24,16.019798276027984,46.019798276027984
2.441,16.016148147512105,46.016148147512105
2.643,16.015989446369147,46.01598944636915
2.844,16.012498023268613,46.01249802326861
3.047,16.013767631216567,46.01376763121657
3.249,16.00980010809559,46.00980010809559
3.452,16.007736998067557,46.00773699806756
3.655,16.00551518879461,46.00551518879461
3.861,16.004086883669302,46.0040868836693
4.063,16.001706376580962,46.00170637658096
4.265,15.99869107021103,45.99869107021103
4.467,15.99869107021103,45.99869107021103
4.668,15.99805626924148,45.99805626924148
4.87,15.992819166173518,45.99281916617352
5.072,15.993295266089007,45.99329526608901
5.273,15.990756067379763,45.99075606737976
5.475,15.988534270205172,45.98853427020517
5.677,15.987582071900675,45.987582071900675
5.883,15.986788573535662,45.98678857353566
6.085,15.983297183128293,45.98329718312829
6.288,15.980757992559944,45.980757992559944
6.489,15.980757992559944,45.980757992559944
6.691,15.977901405641852,45.97790140564185
6.892,15.977425308076604,45.977425308076604
7.095,15.973933928152178,45.97393392815218
7.297,15.972823035359589,45.97282303535959
7.499,15.973457831192597,45.9734578311926
7.7,15.97012515451081,45.97012515451081
7.903,15.969172961827397,45.9691729618274
8.104,15.966157686914428,45.96615768691443
8.307,15.96520549544239,45.96520549544239
8.509,15.964253304261085,45.964253304261085
8.71,15.961555430826188,45.96155543082619
8.912,15.959492352715571,45.95949235271557
9.114,15.958540163278663,45.95854016327866
9.317,15.954414012411803,45.9544140124118
9.518,15.955366200588841,45.95536620058884
9.72,15.95409661641741,45.95409661641741
9.921,15.952033543241214,45.952033543241214
10.123,15.951240053921516,45.95124005392152
10.325,15.950287867004334,45.950287867004334
10.527,15.946479122243034,45.94647912224303
10.729,15.946479122243034,45.94647912224303
10.93,15.944733449115404,45.944733449115404
11.133,15.943622566724748,45.94362256672475
11.335,15.941718197832941,45.94171819783294
11.536,15.938861646675662,45.93886164667566
11.738,15.938544252264116,45.938544252264116
11.94,15.937115977812091,45.93711597781209
12.141,15.93584640107057,45.93584640107057
12.343,15.936322492288085,45.936322492288085
12.545,15.93505291586957,45.93505291586957
12.747,15.932037673947079,45.93203767394708
12.948,15.930609402475,45.930609402475
13.15,15.927594164848855,45.927594164848855
13.352,15.928070254806542,45.92807025480654
13.553,15.925689805745009,45.92568980574501
13.755,15.925689805745009,45.92568980574501
13.958,15.923785447804043,45.92378544780404
14.159,15.923626751361397,45.9236267513614
14.361,15.920611520486624,45.920611520486624
14.563,15.921405002013167,45.92140500201317
14.765,15.918231077118513,45.91823107711851
14.966,15.917120204168548,45.91712020416855
15.168,15.915691939528628,45.91569193952863
15.37,15.913152804006089,45.91315280400609
15.572,15.91347019583334,45.91347019583334
15.774,15.910772366331365,45.910772366331365
15.976,15.908074539163188,45.90807453916319
16.176,15.909978887510228,45.90997888751023
16.378,15.908550626140922,45.90855062614092
16.58,15.906646278666095,45.906646278666095
16.782,15.904107150508615,45.904107150508615
16.983,15.904900627835758,45.90490062783576
17.185,15.902202805747237,45.90220280574724
17.386,15.901726719738576,45.901726719738576
17.588,15.900774547939292,45.90077454793929
17.789,15.899981071661983,45.89998107166198
17.991,15.898235424562586,45.898235424562586
18.193,15.896489778440277,45.89648977844028
18.395,15.894744133295163,45.89474413329516
18.597,15.895061523248863,45.89506152324886
18.799,15.89204631999285,45.89204631999285
19.0,15.89093545637025,45.89093545637025
19.202,15.891094151149225,45.891094151149225
19.404,15.889983287865796,45.889983287865796
19.605,15.887285478682045,45.887285478682045
19.807,15.887602867876609,45.88760286787661
20.008,15.886492005836814,45.886492005836814
20.21,15.884905060752104,45.884905060752104
20.411,15.884111588512525,45.884111588512525
20.613,15.88125509012184,45.88125509012184
20.815,15.881731173005278,45.88173117300528
21.016,15.88014423034317,45.88014423034317
21.218,15.879509453504468,45.87950945350447
21.42,15.877129041509988,45.87712904150999
21.623,15.874748631332523,45.87474863133252
21.825,15.875224713222636,45.875224713222636
22.026,15.874589937385238,45.87458993738524
22.227,15.873161692223576,45.873161692223576
22.43,15.87220952914587,45.87220952914587
22.631,15.87220952914587,45.87220952914587
22.836,15.869987816428406,45.869987816428406
23.038,15.869987816428406,45.869987816428406
23.24,15.868559573374377,45.86855957337438
23.441,15.867607411701783,45.86760741170178
23.643,15.866337863257186,45.866337863257186
23.848,15.866179169737933,45.86617916973793
24.054,15.865861782723726,45.86586178272373
24.256,15.862846607699439,45.86284660769944
24.458,15.861577061192882,45.86157706119288
24.659,15.861735754477984,45.861735754477984
24.862,15.859514049222085,45.859514049222085
25.063,15.859514049222085,45.859514049222085
25.265,15.857292345548991,45.85729234554899
25.466,15.855546722344734,45.855546722344734
25.668,15.855070643458646,45.855070643458646
25.87,15.854753257574949,45.85475325757495
26.072,15.85316632864091,45.85316632864091
26.273,15.85316632864091,45.85316632864091
26.475,15.850151165891042,45.85015116589104
26.677,15.851262014986077,45.85126201498608
26.878,15.847929468888125,45.847929468888125
27.08,15.847612083731164,45.847612083731164
27.282,15.846659928454145,45.846659928454145
27.483,15.84697731351421,45.84697731351421
27.686,15.845549080998452,45.84554908099845
27.886,15.8445969263513,45.8445969263513
