Timestamp (seconds),Temperature [Celsius],Temperature [Raw Reading]
0.202,18.800056691731264,48.800056691731264
0.405,18.79687983434745,48.79687983434745
0.607,18.798627105507677,48.79862710550768
0.808,18.797515205565077,48.79751520556508
1.011,18.798627105507677,48.79862710550768
1.212,18.797832891222477,48.79783289122248
1.415,18.798309419769318,48.79830941976932
1.616,18.797832891222477,48.79783289122248
1.817,18.799103634175992,48.79910363417599
2.019,18.797515205565077,48.79751520556508
2.221,18.797197519940084,48.797197519940084
2.423,18.796244463259413,48.79624446325941
2.623,18.798944791278437,48.79894479127844
2.826,18.798468262634422,48.79846826263442
3.032,18.797991734063295,48.797991734063295
3.235,18.798468262634422,48.79846826263442
3.438,18.799421319995304,48.799421319995304
3.64,18.797515205565077,48.79751520556508
3.842,18.797356362748516,48.797356362748516
4.048,18.796720991563305,48.796720991563305
4.25,18.798944791278437,48.79894479127844
4.452,18.798944791278437,48.79894479127844
4.653,18.799262477081598,48.7992624770816
4.855,18.797356362748516,48.797356362748516
5.057,18.798150576912256,48.798150576912256
5.259,18.801009749578,48.801009749578
5.461,18.798785948388996,48.798785948388996
5.663,18.800692063596713,48.80069206359671
5.865,18.799421319995304,48.799421319995304
6.072,18.79703867713971,48.79703867713971
6.274,18.79481487878507,48.79481487878507
6.475,18.800850906583307,48.80085090658331
6.677,18.801962807716336,48.801962807716336
6.879,18.798944791278437,48.79894479127844
7.081,18.799897848785093,48.79989784878509
7.282,18.798150576912256,48.798150576912256
7.484,18.798468262634422,48.79846826263442
7.686,18.800533220618185,48.800533220618185
7.887,18.799739005847087,48.79973900584709
8.097,18.798468262634422,48.79846826263442
8.3,18.797356362748516,48.797356362748516
8.503,18.798944791278437,48.79894479127844
8.705,18.800374377647756,48.800374377647756
8.907,18.798944791278437,48.79894479127844
9.109,18.800056691731264,48.800056691731264
9.312,18.797674048389744,48.797674048389744
9.514,18.79513256416712,48.79513256416712
9.716,18.79545024958157,48.79545024958157
9.918,18.795926777763988,48.79592677776399
10.119,18.79306760976278,48.79306760976278
10.321,18.79338529496664,48.79338529496664
10.523,18.794973721472033,48.79497372147203
10.725,18.795767935028408,48.79576793502841
10.927,18.796085620507675,48.796085620507675
11.13,18.794020665471642,48.79402066547164
11.332,18.793226452360656,48.793226452360656
11.535,18.793861822833236,48.793861822833236
11.737,18.79529140687032,48.79529140687032
11.939,18.79354413758079,48.79354413758079
12.141,18.79290876717296,48.79290876717296
12.343,18.79545024958157,48.79545024958157
12.545,18.795767935028408,48.79576793502841
12.747,18.794973721472033,48.79497372147203
12.95,18.79529140687032,48.79529140687032
13.152,18.79354413758079,48.79354413758079
13.354,18.795609092300957,48.79560909230096
13.556,18.79338529496664,48.79338529496664
13.758,18.791796869271096,48.791796869271096
13.959,18.792273396894707,48.79227339689471
14.16,18.79354413758079,48.79354413758079
14.362,18.79687983434745,48.79687983434745
14.563,18.801168592580815,48.801168592580815
14.765,18.798309419769318,48.79830941976932
14.967,18.799421319995304,48.799421319995304
15.168,18.798785948388996,48.798785948388996
15.37,18.798150576912256,48.798150576912256
15.573,18.797991734063295,48.797991734063295
15.775,18.799421319995304,48.799421319995304
15.976,18.798627105507677,48.79862710550768
16.178,18.798785948388996,48.798785948388996
16.38,18.795926777763988,48.79592677776399
16.582,18.799103634175992,48.79910363417599
16.783,18.796244463259413,48.79624446325941
16.985,18.796403306019258,48.79640330601926
17.187,18.797991734063295,48.797991734063295
17.392,18.797991734063295,48.797991734063295
17.599,18.796244463259413,48.79624446325941
17.801,18.79958016291718,48.79958016291718
18.003,18.794973721472033,48.79497372147203
18.204,18.796403306019258,48.79640330601926
18.41,18.79703867713971,48.79703867713971
18.614,18.795609092300957,48.79560909230096
18.815,18.79545024958157,48.79545024958157
19.017,18.797832891222477,48.79783289122248
19.219,18.797356362748516,48.797356362748516
19.422,18.797674048389744,48.797674048389744
19.629,18.795767935028408,48.79576793502841
19.831,18.79417950811814,48.79417950811814
20.032,18.796244463259413,48.79624446325941
20.234,18.796085620507675,48.796085620507675
20.441,18.79545024958157,48.79545024958157
20.643,18.79449719343537,48.79449719343537
20.846,18.79259108201766,48.79259108201766
21.048,18.79370298020296,48.79370298020296
21.25,18.795926777763988,48.79592677776399
21.456,18.796403306019258,48.79640330601926
21.659,18.794973721472033,48.79497372147203
21.86,18.795609092300957,48.79560909230096
22.061,18.791002656726945,48.791002656726945
22.263,18.79513256416712,48.79513256416712
22.464,18.794020665471642,48.79402066547164
22.667,18.791796869271096,48.791796869271096
22.867,18.79338529496664,48.79338529496664
23.07,18.795609092300957,48.79560909230096
23.272,18.79290876717296,48.79290876717296
23.474,18.796403306019258,48.79640330601926
23.675,18.792273396894707,48.79227339689471
23.878,18.794973721472033,48.79497372147203
24.079,18.79513256416712,48.79513256416712
24.281,18.79211455434541,48.79211455434541
24.485,18.79211455434541,48.79211455434541
24.686,18.79370298020296,48.79370298020296
24.889,18.79306760976278,48.79306760976278
25.09,18.79274992459124,48.79274992459124
25.292,18.79338529496664,48.79338529496664
25.493,18.792432239452133,48.79243223945213
25.695,18.79306760976278,48.79306760976278
25.897,18.79274992459124,48.79274992459124
26.098,18.791320341720322,48.79132034172032
26.299,18.792432239452133,48.79243223945213
26.503,18.79354413758079,48.79354413758079
26.707,18.790684971766034,48.790684971766034
26.909,18.791955711804185,48.791955711804185
27.11,18.792432239452133,48.79243223945213
27.312,18.792432239452133,48.79243223945213
27.514,18.791796869271096,48.791796869271096
27.715,18.79370298020296,48.79370298020296
27.918,18.790843814242436,48.790843814242436
