Timestamp (seconds),Torque [Pound-inches],Torque [Raw Offset],Torque [Raw Reading]
0.006,3.1311472149999986,3.1311472149999986,-7.868852785000001
0.006,0.8523754999999991,0.8523754999999991,-10.147624500000001
0.006,4.715387839999999,4.715387839999999,-6.284612160000001
0.006,-0.6485154300000016,-0.6485154300000016,-11.648515430000002
0.007,1.692582175,1.692582175,-9.307417825
0.007,0.6303581549999997,0.6303581549999997,-10.369641845
0.007,-0.20030580000000064,-0.20030580000000064,-11.2003058
0.007,1.5376620799999987,1.5376620799999987,-9.462337920000001
0.007,0.3123171899999999,0.3123171899999999,-10.68768281
0.007,1.9638041699999995,1.9638041699999995,-9.03619583
0.007,1.3778215199999995,1.3778215199999995,-9.62217848
0.008,1.4291136399999989,1.4291136399999989,-9.570886360000001
0.008,1.8260311500000004,1.8260311500000004,-9.17396885
0.008,1.4942725249999995,1.4942725249999995,-9.505727475
0.008,1.024293564999999,1.024293564999999,-9.975706435000001
0.008,2.0672830399999995,2.0672830399999995,-8.93271696
0.008,1.9223529799999994,1.9223529799999994,-9.07764702
0.008,4.161164554999999,4.161164554999999,-6.838835445000001
0.009,1.5712107050000004,1.5712107050000004,-9.428789295
0.009,3.0877576599999985,3.0877576599999985,-7.9122423400000015
0.009,1.3371158549999986,1.3371158549999986,-9.662884145000001
0.009,-2.2156089800000007,-2.2156089800000007,-13.21560898
0.009,-1.501843345000001,-1.501843345000001,-12.501843345000001
0.009,-1.2380766000000012,-1.2380766000000012,-12.238076600000001
0.009,3.1900436899999987,3.1900436899999987,-7.809956310000001
0.009,-1.310392525000001,-1.310392525000001,-12.310392525000001
0.009,0.1925858749999989,0.1925858749999989,-10.807414125000001
0.009,0.760526819999999,0.760526819999999,-10.239473180000001
0.009,2.417381579999999,2.417381579999999,-8.582618420000001
0.009,1.4665389949999987,1.4665389949999987,-9.533461005000001
0.009,3.611265314999999,3.611265314999999,-7.388734685000001
0.009,0.995367195,0.995367195,-10.004632805
0.01,-1.0938920650000004,-1.0938920650000004,-12.093892065
0.01,1.6336856999999991,1.6336856999999991,-9.3663143
0.01,-1.4636724650000001,-1.4636724650000001,-12.463672465
0.01,1.2588357299999995,1.2588357299999995,-9.74116427
0.01,-2.3177459050000007,-2.3177459050000007,-13.317745905
0.01,1.305058279999999,1.305058279999999,-9.694941720000001
0.01,-0.04866601500000023,-0.04866601500000023,-11.048666015
0.01,0.8043636899999989,0.8043636899999989,-10.195636310000001
0.01,2.1136546949999993,2.1136546949999993,-8.886345305
0.01,1.4775727649999997,1.4775727649999997,-9.522427235
0.01,-1.0084549000000003,-1.0084549000000003,-12.0084549
0.01,3.0961075399999984,3.0961075399999984,-7.903892460000002
0.01,3.403860259999999,3.403860259999999,-7.596139740000001
0.01,-0.5275912750000007,-0.5275912750000007,-11.527591275
0.01,3.1453121899999985,3.1453121899999985,-7.8546878100000015
0.01,-0.557561380000001,-0.557561380000001,-11.557561380000001
0.01,2.8875096449999997,2.8875096449999997,-8.112490355
0.01,0.08060801999999967,0.08060801999999967,-10.91939198
0.01,-0.8967752550000014,-0.8967752550000014,-11.896775255000001
0.01,1.5370656599999997,1.5370656599999997,-9.46293434
0.01,2.4449660049999995,2.4449660049999995,-8.555033995
0.01,2.6681761900000005,2.6681761900000005,-8.33182381
0.01,1.4640042099999988,1.4640042099999988,-9.535995790000001
0.01,1.9490427749999988,1.9490427749999988,-9.050957225000001
0.01,1.3074439599999987,1.3074439599999987,-9.692556040000001
0.01,0.07658218499999947,0.07658218499999947,-10.923417815
0.011,0.6015808899999993,0.6015808899999993,-10.39841911
0.011,1.1113708849999995,1.1113708849999995,-9.888629115
0.011,2.256944599999999,2.256944599999999,-8.743055400000001
0.011,2.58109887,2.58109887,-8.41890113
0.011,-0.33360567000000074,-0.33360567000000074,-11.33360567
0.011,1.1458141399999988,1.1458141399999988,-9.854185860000001
0.011,0.48393704499999934,0.48393704499999934,-10.516062955
0.011,2.1837340449999996,2.1837340449999996,-8.816265955
0.011,0.393877625,0.393877625,-10.606122375
0.011,-0.1494609950000001,-0.1494609950000001,-11.149460995
0.011,4.354404634999999,4.354404634999999,-6.645595365000001
0.011,0.05048880999999916,0.05048880999999916,-10.94951119
0.011,1.8928301899999997,1.8928301899999997,-9.10716981
0.011,1.2686766599999988,1.2686766599999988,-9.731323340000001
0.011,2.82294718,2.82294718,-8.17705282
0.011,0.4967600749999992,0.4967600749999992,-10.503239925
0.011,0.6166404949999986,0.6166404949999986,-10.383359505000001
0.011,-0.9977193400000015,-0.9977193400000015,-11.997719340000002
0.011,0.9391546099999992,0.9391546099999992,-10.06084539
0.011,-0.9822124200000015,-0.9822124200000015,-11.982212420000002
0.011,2.2588829649999997,2.2588829649999997,-8.741117035
0.011,2.7747862649999995,2.7747862649999995,-8.225213735
0.011,3.256246309999999,3.256246309999999,-7.743753690000001
0.011,2.72871282,2.72871282,-8.27128718
0.011,-0.23713473500000148,-0.23713473500000148,-11.237134735000001
0.011,-0.3787844850000006,-0.3787844850000006,-11.378784485
0.011,-2.0454801750000016,-2.0454801750000016,-13.045480175000002
0.011,4.158033349999999,4.158033349999999,-6.841966650000001
0.012,-0.8469741850000005,-0.8469741850000005,-11.846974185
0.012,3.8316425049999987,3.8316425049999987,-7.168357495000001
0.012,-0.3750568600000008,-0.3750568600000008,-11.37505686
0.012,3.3923791749999985,3.3923791749999985,-7.6076208250000015
0.012,0.7805068899999998,0.7805068899999998,-10.21949311
0.012,1.3274240299999995,1.3274240299999995,-9.67257597
