Timestamp (seconds),Torque [Pound-inches],Torque [Raw Offset],Torque [Raw Reading]
0.007,2.5535144449999994,2.5535144449999994,-8.446485555
0.007,1.3521754599999998,1.3521754599999998,-9.64782454
0.007,1.16221569,1.16221569,-9.83778431
0.008,1.6836358750000002,1.6836358750000002,-9.316364125
0.008,-1.062580015,-1.062580015,-12.062580015
0.008,1.537811184999999,1.537811184999999,-9.462188815000001
0.008,-1.135045045,-1.135045045,-12.135045045
0.008,1.8424326999999998,1.8424326999999998,-9.1575673
0.008,-0.48688560999999986,-0.48688560999999986,-11.48688561
0.009,3.0806006199999985,3.0806006199999985,-7.9193993800000015
0.009,0.06077705499999908,0.06077705499999908,-10.939222945000001
0.009,0.9528722700000003,0.9528722700000003,-10.04712773
0.009,1.2267781549999999,1.2267781549999999,-9.773221845
0.009,2.59541295,2.59541295,-8.40458705
0.009,1.8576414099999994,1.8576414099999994,-9.14235859
0.009,2.854706544999999,2.854706544999999,-8.145293455000001
0.01,3.0290102899999987,3.0290102899999987,-7.970989710000001
0.01,-2.1125774250000013,-2.1125774250000013,-13.112577425000001
0.01,2.606297614999999,2.606297614999999,-8.393702385000001
0.01,-0.9128785950000005,-0.9128785950000005,-11.912878595
0.01,3.542826119999999,3.542826119999999,-7.457173880000001
0.01,2.048346705,2.048346705,-8.951653295
0.01,4.148341524999999,4.148341524999999,-6.851658475000001
0.01,1.7866674299999996,1.7866674299999996,-9.21333257
0.01,3.976125249999999,3.976125249999999,-7.023874750000001
0.01,0.8851785999999997,0.8851785999999997,-10.1148214
0.01,1.206798084999999,1.206798084999999,-9.793201915000001
0.01,3.6033627499999987,3.6033627499999987,-7.396637250000001
0.01,0.8523754999999991,0.8523754999999991,-10.147624500000001
0.01,-0.1576617700000007,-0.1576617700000007,-11.15766177
0.01,0.1788682149999996,0.1788682149999996,-10.821131785
0.01,3.0497358849999987,3.0497358849999987,-7.950264115000001
0.01,0.7125150099999988,0.7125150099999988,-10.287484990000001
0.01,1.5200676899999994,1.5200676899999994,-9.47993231
0.01,-0.5298278500000002,-0.5298278500000002,-11.52982785
0.01,6.085066369999999,6.085066369999999,-4.914933630000001
0.01,1.1801082899999997,1.1801082899999997,-9.81989171
0.01,0.7649999699999999,0.7649999699999999,-10.23500003
0.01,1.3599289199999998,1.3599289199999998,-9.64007108
0.01,3.0852228749999986,3.0852228749999986,-7.914777125000001
0.01,2.083237275,2.083237275,-8.916762725
0.011,3.606792164999999,3.606792164999999,-7.393207835000001
0.011,2.948940904999999,2.948940904999999,-8.051059095000001
0.011,2.5685740500000005,2.5685740500000005,-8.43142595
0.011,4.6703581299999986,4.6703581299999986,-6.3296418700000014
0.011,0.4368198649999986,0.4368198649999986,-10.563180135000001
0.011,4.6224954249999985,4.6224954249999985,-6.3775045750000015
0.011,1.752522384999999,1.752522384999999,-9.247477615000001
0.011,2.3595288399999994,2.3595288399999994,-8.64047116
0.011,0.44561706,0.44561706,-10.55438294
0.011,3.3503315649999985,3.3503315649999985,-7.6496684350000015
0.011,-1.4905113650000015,-1.4905113650000015,-12.490511365000001
0.011,2.41678516,2.41678516,-8.58321484
0.011,-0.42515614000000035,-0.42515614000000035,-11.42515614
0.011,0.5748910949999999,0.5748910949999999,-10.425108905
0.011,1.21261318,1.21261318,-9.78738682
0.011,1.1772752949999994,1.1772752949999994,-9.822724705
0.011,2.9034638799999986,2.9034638799999986,-8.096536120000001
0.011,1.1871162249999987,1.1871162249999987,-9.812883775000001
0.011,1.3207143049999992,1.3207143049999992,-9.679285695
0.011,-1.1405619300000005,-1.1405619300000005,-12.14056193
0.011,2.037163829999999,2.037163829999999,-8.962836170000001
0.011,1.7719060349999989,1.7719060349999989,-9.228093965000001
0.011,3.5167327449999988,3.5167327449999988,-7.483267255000001
0.011,-1.8922002350000007,-1.8922002350000007,-12.892200235
0.011,4.054703584999999,4.054703584999999,-6.945296415000001
0.011,3.3406397399999985,3.3406397399999985,-7.6593602600000015
0.011,0.5200204549999992,0.5200204549999992,-10.479979545
0.012,1.325783874999999,1.325783874999999,-9.674216125000001
0.012,-0.6723722300000006,-0.6723722300000006,-11.67237223
0.012,2.046259234999999,2.046259234999999,-8.953740765000001
0.012,0.27280436499999894,0.27280436499999894,-10.727195635000001
0.012,4.253311444999999,4.253311444999999,-6.746688555000001
0.012,0.8596816450000002,0.8596816450000002,-10.140318355
0.012,2.4564470899999993,2.4564470899999993,-8.54355291
0.012,0.023948120000000017,0.023948120000000017,-10.97605188
0.012,4.302366989999999,4.302366989999999,-6.697633010000001
0.012,1.3876624499999988,1.3876624499999988,-9.612337550000001
0.012,2.7445179500000005,2.7445179500000005,-8.25548205
0.012,0.3062038849999986,0.3062038849999986,-10.693796115000001
0.012,2.7639016000000005,2.7639016000000005,-8.2360984
0.012,1.2758336999999997,1.2758336999999997,-9.7241663
0.012,2.4786637349999996,2.4786637349999996,-8.521336265
0.012,1.0749892649999992,1.0749892649999992,-9.925010735
0.012,-1.150551965,-1.150551965,-12.150551965
0.012,2.03149784,2.03149784,-8.96850216
0.012,1.8498879499999994,1.8498879499999994,-9.15011205
0.012,2.374737549999999,2.374737549999999,-8.625262450000001
0.012,-0.7730181050000002,-0.7730181050000002,-11.773018105
0.012,1.9041621699999993,1.9041621699999993,-9.09583783
0.012,0.7997414349999996,0.7997414349999996,-10.200258565
0.012,5.5706541199999995,5.5706541199999995,-5.4293458800000005
0.012,0.8577432799999993,0.8577432799999993,-10.14225672
0.012,2.6921820949999997,2.6921820949999997,-8.307817905
