Timestamp (seconds),Torque [Raw Reading],Torque [Absolute Value]
0.01,3.300221455,3.300221455
0.01,3.3054387300000005,3.3054387300000005
0.01,3.3003705200000004,3.3003705200000004
0.01,3.2754766650000002,3.2754766650000002
0.01,3.3379349000000005,3.3379349000000005
0.01,3.31319011,3.31319011
0.026,3.3201961650000005,3.3201961650000005
0.026,3.269812195,3.269812195
0.026,3.28158833,3.28158833
0.026,3.296047635,3.296047635
0.026,3.3036499500000005,3.3036499500000005
0.026,3.3024574300000005,3.3024574300000005
0.026,3.32153775,3.32153775
0.026,3.28307898,3.28307898
0.027,3.2994761300000004,3.2994761300000004
0.027,3.2408935850000002,3.2408935850000002
0.027,3.31259385,3.31259385
0.027,3.3060349900000006,3.3060349900000006
0.027,3.258483255,3.258483255
0.027,3.2802467450000004,3.2802467450000004
0.027,3.343748435,3.343748435
0.042,3.2862093450000005,3.2862093450000005
0.042,3.268619675,3.268619675
0.042,3.2231548500000002,3.2231548500000002
0.042,3.293066335,3.293066335
0.042,3.31378637,3.31378637
0.042,3.268619675,3.268619675
0.042,3.3072275100000006,3.3072275100000006
0.042,3.373561435,3.373561435
0.043,3.307972835,3.307972835
0.043,3.2371669600000006,3.2371669600000006
0.043,3.296345765,3.296345765
0.043,3.2720481700000006,3.2720481700000006
0.043,3.329438195,3.329438195
0.043,3.2967929600000003,3.2967929600000003
0.043,3.2976873500000004,3.2976873500000004
0.043,3.332419495,3.332419495
0.043,3.235825375,3.235825375
0.043,3.2356763100000006,3.2356763100000006
0.043,3.27920329,3.27920329
0.044,3.198559125,3.198559125
0.044,3.305587795,3.305587795
0.044,3.2842715,3.2842715
0.044,3.3048424700000005,3.3048424700000005
0.044,3.35910213,3.35910213
0.044,3.239999195,3.239999195
0.044,3.24074452,3.24074452
0.044,3.2900850350000006,3.2900850350000006
0.058,3.2909794250000006,3.2909794250000006
0.058,3.3112522650000002,3.3112522650000002
0.058,3.2958985700000003,3.2958985700000003
0.058,3.303500885,3.303500885
0.058,3.3190036450000004,3.3190036450000004
0.058,3.2408935850000002,3.2408935850000002
0.058,3.340469005,3.340469005
0.058,3.29261914,3.29261914
0.058,3.2847186950000005,3.2847186950000005
0.059,3.32392279,3.32392279
0.059,3.4287154850000006,3.4287154850000006
0.059,3.28695467,3.28695467
0.059,3.2744332100000006,3.2744332100000006
0.059,3.3965174450000006,3.3965174450000006
0.059,3.35105262,3.35105262
0.059,3.2826317850000004,3.2826317850000004
0.059,3.388617,3.388617
0.059,3.344046565,3.344046565
0.059,3.3444937600000006,3.3444937600000006
0.06,3.3418105900000006,3.3418105900000006
0.06,3.3373386400000005,3.3373386400000005
0.06,3.293066335,3.293066335
0.06,3.3491147750000003,3.3491147750000003
0.06,3.4085917100000005,3.4085917100000005
0.06,3.3193017750000005,3.3193017750000005
0.06,3.3884679350000004,3.3884679350000004
0.06,3.38921326,3.38921326
0.06,3.3447918900000007,3.3447918900000007
0.074,3.31825832,3.31825832
0.074,3.3893623250000005,3.3893623250000005
0.074,3.3680460300000004,3.3680460300000004
0.074,3.3163204750000004,3.3163204750000004
0.074,3.412914595,3.412914595
0.074,3.3139354350000003,3.3139354350000003
0.074,3.3754992800000005,3.3754992800000005
0.074,3.3737105000000005,3.3737105000000005
0.074,3.3382330300000005,3.3382330300000005
0.075,3.3595493250000006,3.3595493250000006
0.075,3.3500091650000003,3.3500091650000003
0.075,3.4173865450000003,3.4173865450000003
0.075,3.2935135300000002,3.2935135300000002
0.075,3.38772261,3.38772261
0.075,3.3996478100000003,3.3996478100000003
0.075,3.413212725,3.413212725
0.075,3.3598474550000006,3.3598474550000006
0.075,3.3962193150000006,3.3962193150000006
0.075,3.3500091650000003,3.3500091650000003
0.075,3.38593383,3.38593383
0.076,3.434976215,3.434976215
0.076,3.2991780000000004,3.2991780000000004
0.076,3.4281192250000005,3.4281192250000005
0.076,3.4422804000000005,3.4422804000000005
0.076,3.38146188,3.38146188
0.076,3.3959211850000006,3.3959211850000006
0.09,3.402181915,3.402181915
0.09,3.36089091,3.36089091
0.09,3.5039933100000002,3.5039933100000002
0.09,3.4561434450000004,3.4561434450000004
0.09,3.3716235900000004,3.3716235900000004
0.09,3.4032253700000004,3.4032253700000004
0.09,3.4513733650000002,3.4513733650000002
0.09,3.3947286650000006,3.3947286650000006
0.09,3.45331121,3.45331121
0.09,3.475820025,3.475820025
0.091,3.4931115650000004,3.4931115650000004
0.091,3.4895340050000003,3.4895340050000003
0.091,3.3799712300000007,3.3799712300000007
0.091,3.43065333,3.43065333
0.091,3.48789429,3.48789429
0.091,3.376542735,3.376542735
0.091,3.4679195800000002,3.4679195800000002
0.091,3.46464015,3.46464015
0.091,3.4653854750000006,3.4653854750000006
0.092,3.48640364,3.48640364
0.092,3.4214113,3.4214113
0.092,3.514576925,3.514576925
0.092,3.4849129900000007,3.4849129900000007
0.092,3.503844245,3.503844245
0.092,3.3962193150000006,3.3962193150000006
0.106,3.4437710500000005,3.4437710500000005
0.106,3.46255324,3.46255324
0.106,3.5317194,3.5317194
0.106,3.4783541300000005,3.4783541300000005
0.106,3.45927381,3.45927381
0.106,3.4889377450000003,3.4889377450000003
0.106,3.482677015,3.482677015
0.106,3.5587001650000003,3.5587001650000003
0.106,3.46165885,3.46165885
0.107,3.5090615200000004,3.5090615200000004
0.107,3.45271495,3.45271495
0.107,3.4500317800000007,3.4500317800000007
0.107,3.5220301750000003,3.5220301750000003
0.107,3.5147259900000005,3.5147259900000005
0.107,3.5057820900000003,3.5057820900000003
0.107,3.48938494,3.48938494
0.107,3.4929625,3.4929625
0.107,3.5634702450000004,3.5634702450000004
0.107,3.4868508350000003,3.4868508350000003
0.108,3.549160005,3.549160005
0.108,3.4488392600000006,3.4488392600000006
0.108,3.5265021250000004,3.5265021250000004
0.108,3.6235434400000006,3.6235434400000006
0.108,3.4859564450000002,3.4859564450000002
0.108,3.5962645450000004,3.5962645450000004
0.108,3.4807391700000005,3.4807391700000005
0.122,3.5247133450000003,3.5247133450000003
0.122,3.49176998,3.49176998
0.122,3.56033988,3.56033988
0.122,3.4706027500000003,3.4706027500000003
0.122,3.5566132550000003,3.5566132550000003
0.122,3.5017573350000006,3.5017573350000006
0.122,3.5649608950000005,3.5649608950000005
0.122,3.5445389900000004,3.5445389900000004
0.122,3.4999685550000006,3.4999685550000006
0.123,3.5394707800000003,3.5394707800000003
0.123,3.5194960700000006,3.5194960700000006
0.123,3.6032706,3.6032706
0.123,3.578376745,3.578376745
0.123,3.518750745,3.518750745
0.123,3.5227755,3.5227755
0.123,3.60565564,3.60565564
0.123,3.618028035,3.618028035
0.123,3.5824015000000005,3.5824015000000005
0.123,3.5347007,3.5347007
0.123,3.6320401450000004,3.6320401450000004
0.124,3.5595945550000003,3.5595945550000003
0.124,3.64113311,3.64113311
0.124,3.53678761,3.53678761
0.124,3.5889603600000006,3.5889603600000006
0.124,3.60088556,3.60088556
0.138,3.59671174,3.59671174
0.138,3.5853828000000005,3.5853828000000005
0.138,3.5779295500000003,3.5779295500000003
0.138,3.5604889450000003,3.5604889450000003
0.138,3.6335307950000004,3.6335307950000004
0.138,3.613556085,3.613556085
0.139,3.56719687,3.56719687
0.139,3.644561605,3.644561605
0.139,3.645754125,3.645754125
0.139,3.655294285,3.655294285
0.139,3.588215035,3.588215035
0.14,3.6330836,3.6330836
0.14,3.6302513650000003,3.6302513650000003
0.14,3.6356177050000005,3.6356177050000005
0.14,3.588513165,3.588513165
0.14,3.6311457550000004,3.6311457550000004
0.14,3.6506732700000004,3.6506732700000004
0.14,3.6275681950000003,3.6275681950000003
0.14,3.6444125400000003,3.6444125400000003
0.14,3.64053685,3.64053685
0.141,3.683616635,3.683616635
0.141,3.63069856,3.63069856
0.141,3.659468105,3.659468105
0.141,3.6660269650000004,3.6660269650000004
0.141,3.6323382750000004,3.6323382750000004
0.141,3.6462013200000003,3.6462013200000003
0.141,3.70940488,3.70940488
0.141,3.69897033,3.69897033
0.153,3.680039075,3.680039075
0.153,3.6608096900000007,3.6608096900000007
0.153,3.7177525200000003,3.7177525200000003
0.153,3.6548470900000005,3.6548470900000005
0.153,3.6956909000000007,3.6956909000000007
0.153,3.6959890300000007,3.6959890300000007
0.153,3.67541806,3.67541806
0.153,3.71268431,3.71268431
0.154,3.67124424,3.67124424
0.154,3.6533564400000005,3.6533564400000005
0.154,3.7408575950000005,3.7408575950000005
0.154,3.7255039000000005,3.7255039000000005
0.154,3.69926846,3.69926846
0.154,3.718199715,3.718199715
0.154,3.6924114700000006,3.6924114700000006
0.154,3.6684120050000004,3.6684120050000004
0.154,3.6861507400000004,3.6861507400000004
0.154,3.722075405,3.722075405
0.155,3.6323382750000004,3.6323382750000004
0.155,3.654101765,3.654101765
0.155,3.7098520750000006,3.7098520750000006
0.155,3.694647445,3.694647445
0.155,3.7086595550000006,3.7086595550000006
0.155,3.6678157450000004,3.6678157450000004
0.155,3.6752689950000006,3.6752689950000006
0.155,3.6930077300000006,3.6930077300000006
0.168,3.7077651650000005,3.7077651650000005
0.168,3.6557414800000005,3.6557414800000005
0.168,3.67452367,3.67452367
0.168,3.67064798,3.67064798
0.168,3.6716914350000005,3.6716914350000005
0.169,3.686896065,3.686896065
0.169,3.6846600900000004,3.6846600900000004
0.169,3.6265247400000007,3.6265247400000007
0.169,3.66528164,3.66528164
0.169,3.6858526100000004,3.6858526100000004
0.169,3.66528164,3.66528164
0.17,3.6330836,3.6330836
0.17,3.6783993600000002,3.6783993600000002
0.17,3.62771726,3.62771726
0.17,3.6442634750000007,3.6442634750000007
0.17,3.6891320400000005,3.6891320400000005
0.17,3.63695929,3.63695929
0.171,3.63069856,3.63069856
0.171,3.6172827100000005,3.6172827100000005
0.171,3.63397799,3.63397799
0.171,3.5941776350000003,3.5941776350000003
0.171,3.59700987,3.59700987
0.171,3.5986495850000004,3.5986495850000004
0.171,3.5703272350000006,3.5703272350000006
0.183,3.581059915,3.581059915
0.183,3.60356873,3.60356873
0.183,3.5688365850000006,3.5688365850000006
0.183,3.546476835,3.546476835
0.183,3.5276946450000004,3.5276946450000004
0.183,3.5740538600000002,3.5740538600000002
0.183,3.540812365,3.540812365
0.184,3.5812089800000004,3.5812089800000004
0.184,3.6010346250000005,3.6010346250000005
0.184,3.5244152150000003,3.5244152150000003
0.184,3.4925153050000004,3.4925153050000004
0.184,3.5685384550000006,3.5685384550000006
0.184,3.52307363,3.52307363
0.184,3.5418558200000003,3.5418558200000003
0.184,3.53380631,3.53380631
0.184,3.509210585,3.509210585
0.184,3.5956682850000004,3.5956682850000004
0.184,3.580761785,3.580761785
