Timestamp,Depth [cm],Force [Newtons],Force [Raw Reading]
0.012,0.0005773672055427252,8.00394991376,9.41001435e-05
0.012,0.0011547344110854503,8.079411545024001,9.487841940000001e-05
0.012,0.0017321016166281756,7.881360903584,9.283581790000001e-05
0.012,0.0023094688221709007,8.051077292672002,9.45861932e-05
0.012,0.002886836027713626,8.002215163616,9.408225210000001e-05
0.012,0.003464203233256351,8.079411545024001,9.487841940000001e-05
0.012,0.0040415704387990765,7.9776395365760004,9.38287906e-05
0.026,0.004618937644341801,7.852737526208,9.254060980000001e-05
0.026,0.005196304849884526,7.88107177856,9.2832836e-05
0.026,0.005773672055427252,8.010599789312,9.41687272e-05
0.026,0.006351039260969977,8.096180796416,9.50513696e-05
0.026,0.006928406466512702,8.048475167456001,9.45593561e-05
0.026,0.007505773672055427,8.005395538880002,9.411505300000001e-05
0.026,0.008083140877598153,8.079700670048002,9.488140130000001e-05
0.026,0.008660508083140877,8.0935786712,9.50245325e-05
0.026,0.009237875288683603,8.010599789312,9.41687272e-05
0.026,0.009815242494226328,7.981687286912002,9.387053720000001e-05
0.026,0.010392609699769052,8.090398295936001,9.499173160000001e-05
0.026,0.010969976905311778,8.036331916448002,9.443411630000001e-05
0.026,0.011547344110854504,7.968387535808001,9.373336980000001e-05
0.026,0.01212471131639723,7.9579790349440005,9.36260214e-05
0.026,0.012702078521939953,8.042114416928001,9.44937543e-05
0.026,0.013279445727482679,7.9076712807680005,9.310717080000001e-05
0.026,0.013856812933025405,7.987758912416001,9.393315710000001e-05
0.026,0.014434180138568129,7.9420771586239995,9.34620169e-05
0.026,0.015011547344110854,7.879337028416001,9.281494460000001e-05
0.026,0.01558891454965358,7.938029408288,9.34202703e-05
0.035,0.016166281755196306,8.112660922783999,9.52213379e-05
0.035,0.01674364896073903,7.906803905696001,9.309822510000001e-05
0.035,0.017321016166281754,7.939475033408001,9.34351798e-05
0.035,0.01789838337182448,7.90853865584,9.31161165e-05
0.035,0.018475750577367205,7.914610281343999,9.31787364e-05
0.035,0.01905311778290993,7.898708405024,9.301473190000001e-05
0.035,0.019630484988452657,8.018406164960002,9.424923850000001e-05
0.035,0.02020785219399538,8.045294792192,9.452655520000001e-05
0.035,0.020785219399538105,7.984289412128001,9.389737430000001e-05
0.035,0.021362586605080832,8.060907543488,9.468757780000001e-05
0.035,0.021939953810623556,7.962894160352001,9.367671370000001e-05
0.035,0.022517321016166283,8.031995041087999,9.43893878e-05
0.035,0.023094688221709007,8.03864491664,9.44579715e-05
0.035,0.02367205542725173,7.927910032448001,9.33159038e-05
0.035,0.02424942263279446,7.9776395365760004,9.38287906e-05
0.035,0.024826789838337183,8.098204671584,9.507224290000001e-05
0.035,0.025404157043879907,7.981398161888001,9.386755530000001e-05
0.035,0.025981524249422634,8.0718942944,9.480089000000001e-05
0.035,0.026558891454965358,7.922127531967999,9.32562658e-05
0.035,0.027136258660508082,8.010310664288,9.416574530000001e-05
0.035,0.02771362586605081,7.931957782784001,9.33576504e-05
0.035,0.028290993071593534,7.984578537151999,9.39003562e-05
0.035,0.028868360277136258,8.047896917408,9.455339230000001e-05
0.035,0.029445727482678985,7.711644514496,9.108544260000001e-05
0.035,0.03002309468822171,7.911719031104002,9.314891740000001e-05
0.035,0.030600461893764433,8.08056804512,9.4890347e-05
0.035,0.03117782909930716,7.9733026612160005,9.378406210000001e-05
0.035,0.03175519630484989,7.926464407328001,9.33009943e-05
0.045,0.03233256351039261,7.885697778944,9.288054640000001e-05
0.045,0.032909930715935336,8.052522917792,9.46011027e-05
0.045,0.03348729792147806,7.930512157664,9.33427409e-05
0.045,0.034064665127020784,7.946124908960001,9.35037635e-05
0.045,0.03464203233256351,8.040668791807999,9.44788448e-05
0.045,0.03521939953810624,8.044716542144002,9.452059140000001e-05
0.045,0.03579676674364896,7.934559908,9.33844875e-05
0.045,0.036374133949191687,7.94757053408,9.3518673e-05
0.045,0.03695150115473441,7.924729657184002,9.328310290000001e-05
0.045,0.037528868360277134,7.962315910304,9.367074990000001e-05
0.045,0.03810623556581986,7.940631533504001,9.34471074e-05
0.061,0.03868360277136259,7.873554527936,9.27553066e-05
0.061,0.03926096997690531,8.166438177248,9.577597130000001e-05
0.061,0.03983833718244804,7.944679283840002,9.348885400000001e-05
0.061,0.04041570438799076,7.992095787776001,9.39778856e-05
0.061,0.040993071593533485,7.999034788352,9.40494512e-05
0.061,0.04157043879907621,8.016093164768002,9.42253833e-05
0.061,0.04214780600461894,8.006841164,9.412996250000001e-05
0.061,0.042725173210161664,8.047896917408,9.455339230000001e-05
0.061,0.04330254041570439,7.886276028992001,9.288651020000001e-05
0.061,0.04387990762124711,7.967520160736,9.37244241e-05
0.062,0.044457274826789836,7.948437909152001,9.35276187e-05
0.062,0.04503464203233257,7.893793279616001,9.296403960000001e-05
0.062,0.04561200923787529,8.002793413664001,9.408821590000001e-05
0.062,0.046189376443418015,7.985445912224001,9.39093019e-05
0.062,0.04676674364896074,7.918658031680001,9.322048300000001e-05
0.062,0.04734411085450346,7.85360490128,9.25495555e-05
0.076,0.04792147806004619,7.874711028032,9.276723420000001e-05
0.076,0.04849884526558892,7.981109036864001,9.38645734e-05
0.076,0.04907621247113164,7.958557284992,9.36319852e-05
0.076,0.049653579676674366,7.918658031680001,9.322048300000001e-05
0.077,0.05023094688221709,8.082013670240002,9.49052565e-05
0.077,0.050808314087759814,7.981109036864001,9.38645734e-05
0.077,0.05138568129330254,7.938607658335999,9.34262341e-05
0.077,0.05196304849884527,8.00394991376,9.41001435e-05
