Timestamp,Depth [cm],Force [Newtons],Force [Raw Reading]
0.01,0.0005773672055427252,8.047318667360003,9.454742850000001e-05
0.011,0.0011547344110854503,7.874132777984001,9.276127040000001e-05
0.011,0.0017321016166281756,7.968098410784001,9.37303879e-05
0.011,0.0023094688221709007,7.94034240848,9.344412550000001e-05
0.011,0.002886836027713626,7.837124774912001,9.237958720000001e-05
0.011,0.003464203233256351,7.89552802976,9.2981931e-05
0.011,0.0040415704387990765,7.825270648928,9.225732930000001e-05
0.011,0.004618937644341801,7.866037277312,9.26777772e-05
0.029,0.005196304849884526,7.995854413088002,9.401665030000001e-05
0.029,0.005773672055427252,8.06755741904,9.47561615e-05
0.029,0.006351039260969977,7.9770612865279995,9.38228268e-05
0.029,0.006928406466512702,7.967520160736,9.37244241e-05
0.029,0.007505773672055427,7.933114282879999,9.3369578e-05
0.029,0.008083140877598153,8.004528163808,9.41061073e-05
0.029,0.008660508083140877,7.972724411168001,9.377809830000001e-05
0.029,0.009237875288683603,8.001636913568,9.40762883e-05
0.029,0.009815242494226328,8.162390426912001,9.573422470000001e-05
0.029,0.010392609699769052,8.01117803936,9.417469100000001e-05
0.029,0.010969976905311778,7.986891537344001,9.392421140000001e-05
0.029,0.011547344110854504,7.945257533888001,9.349481780000001e-05
0.029,0.01212471131639723,7.94034240848,9.344412550000001e-05
0.029,0.012702078521939953,7.918947156704001,9.32234649e-05
0.029,0.013279445727482679,7.871819777792001,9.273741520000001e-05
0.029,0.013856812933025405,7.918947156704001,9.32234649e-05
0.029,0.014434180138568129,7.988337162464,9.393912090000001e-05
0.029,0.015011547344110854,7.997878288256001,9.403752360000001e-05
0.044,0.01558891454965358,7.940053283456,9.34411436e-05
0.044,0.016166281755196306,7.911429906080001,9.31459355e-05
0.044,0.01674364896073903,7.878469653344001,9.28059989e-05
0.044,0.017321016166281754,7.962894160352001,9.367671370000001e-05
0.044,0.01789838337182448,8.075942044736,9.484263660000001e-05
0.044,0.018475750577367205,7.988915412512001,9.394508470000001e-05
0.044,0.01905311778290993,8.071026919328002,9.47919443e-05
0.044,0.019630484988452657,8.191013804288001,9.60294328e-05
0.044,0.02020785219399538,7.974459161312001,9.37959897e-05
0.044,0.020785219399538105,7.9426554086720005,9.346798070000001e-05
0.044,0.021362586605080832,7.954509534656,9.35902386e-05
0.044,0.021939953810623556,8.025345165536002,9.432080410000001e-05
0.044,0.022517321016166283,7.948437909152001,9.35276187e-05
0.044,0.023094688221709007,8.129430174176001,9.539428810000001e-05
0.044,0.02367205542725173,8.039512291712,9.44669172e-05
0.044,0.02424942263279446,7.951329159392,9.355743770000001e-05
0.044,0.024826789838337183,8.04153616688,9.44877905e-05
0.044,0.025404157043879907,7.809079647584,9.20903429e-05
0.044,0.025981524249422634,8.01262366448,9.41896005e-05
0.044,0.026558891454965358,7.869217652576,9.271057810000001e-05
0.044,0.027136258660508082,8.073629044543999,9.48187814e-05
0.044,0.02771362586605081,8.039223166688,9.446393530000001e-05
0.044,0.028290993071593534,7.922127531967999,9.32562658e-05
0.044,0.028868360277136258,8.007997664096,9.41418901e-05
0.044,0.029445727482678985,7.7266790157440015,9.124050140000001e-05
0.044,0.03002309468822171,7.92588615728,9.329503050000001e-05
0.044,0.030600461893764433,7.977928661600001,9.38317725e-05
0.044,0.03117782909930716,8.051655542719999,9.4592157e-05
0.044,0.03175519630484989,7.930223032640002,9.333975900000001e-05
0.044,0.03233256351039261,7.888589029184,9.29103654e-05
0.051,0.032909930715935336,7.918947156704001,9.32234649e-05
0.051,0.03348729792147806,7.868350277504001,9.270163240000001e-05
0.051,0.034064665127020784,7.8787587783680015,9.280898080000001e-05
0.051,0.03464203233256351,7.928488282496001,9.33218676e-05
0.051,0.03521939953810624,7.9273317824000005,9.330994000000001e-05
0.051,0.03579676674364896,8.03286241616,9.439833350000001e-05
0.051,0.036374133949191687,7.881939153632,9.28417817e-05
0.051,0.03695150115473441,8.08779617072,9.496489450000001e-05
0.051,0.037528868360277134,8.078255044928,9.486649180000001e-05
0.051,0.03810623556581986,8.13983867504,9.550163650000001e-05
0.051,0.03868360277136259,7.968387535808001,9.373336980000001e-05
0.051,0.03926096997690531,8.01985179008,9.426414800000001e-05
0.051,0.03983833718244804,7.9490161592,9.35335825e-05
0.051,0.04041570438799076,7.970411410976001,9.375424310000001e-05
0.051,0.040993071593533485,8.106300172256002,9.515573610000001e-05
0.051,0.04157043879907621,7.963183285376002,9.367969560000001e-05
0.051,0.04214780600461894,7.7862387706880005,9.185477280000001e-05
0.051,0.042725173210161664,7.964918035520001,9.3697587e-05
0.051,0.04330254041570439,8.160944801792002,9.571931520000001e-05
0.051,0.04387990762124711,8.014647539648,9.42104738e-05
0.051,0.044457274826789836,7.864302527168001,9.265988580000001e-05
0.051,0.04503464203233257,8.079122420000001,9.48754375e-05
0.051,0.04561200923787529,7.941498908576,9.34560531e-05
0.051,0.046189376443418015,7.981976411936,9.38735191e-05
0.051,0.04676674364896074,8.055992418079999,9.46368855e-05
0.051,0.04734411085450346,7.949883534272,9.354252820000001e-05
0.051,0.04792147806004619,8.007997664096,9.41418901e-05
0.051,0.04849884526558892,7.880493528512001,9.28268722e-05
0.066,0.04907621247113164,8.05454679296,9.4621976e-05
0.067,0.049653579676674366,7.986024162272,9.39152657e-05
0.067,0.05023094688221709,7.916634156511999,9.31996097e-05
0.067,0.050808314087759814,8.014647539648,9.42104738e-05
0.067,0.05138568129330254,7.976772161504001,9.381984490000001e-05
0.067,0.05196304849884527,8.094735171296001,9.503646010000001e-05
