Timestamp,Depth [cm],Force [Pounds/Raw],Force [Offset]
0.01,0.0005773672055427252,-5.196242680000001,-0.196242680000001
0.01,0.0011547344110854503,-2.201669605,2.798330395
0.01,0.0017321016166281756,-4.364441675000001,0.635558324999999
0.01,0.0023094688221709007,-7.756054735000001,-2.756054735000001
0.01,0.002886836027713626,-3.67726282,1.3227371799999998
0.01,0.003464203233256351,-2.81698467,2.18301533
0.01,0.0040415704387990765,-3.871533605,1.1284663949999998
0.01,0.004618937644341801,-4.210873825000001,0.7891261749999989
0.01,0.005196304849884526,-2.401158715,2.598841285
0.01,0.005773672055427252,-3.7931096350000004,1.2068903649999996
0.01,0.006351039260969977,-4.958137965000001,0.04186203499999941
0.01,0.006928406466512702,-6.749216200000001,-1.749216200000001
0.03,0.007505773672055427,-3.4074008700000005,1.5925991299999995
0.03,0.008083140877598153,-5.8722394100000015,-0.8722394100000015
0.03,0.008660508083140877,-3.1438009100000004,1.8561990899999996
0.03,0.009237875288683603,-5.313580445000001,-0.31358044500000126
0.03,0.009815242494226328,-3.4127682900000003,1.5872317099999997
0.03,0.010392609699769052,-2.9475918900000004,2.0524081099999996
0.03,0.010969976905311778,-4.307636480000001,0.6923635199999989
0.03,0.011547344110854504,-3.8549840600000005,1.1450159399999995
0.03,0.01212471131639723,-3.2323633400000005,1.7676366599999995
0.03,0.012702078521939953,-4.273344630000001,0.7266553699999987
0.03,0.013279445727482679,-2.479582685,2.520417315
0.03,0.013856812933025405,-6.351579835000001,-1.3515798350000008
0.03,0.014434180138568129,-3.286783015,1.7132169849999999
0.03,0.015011547344110854,-4.583313135000001,0.4166868649999991
0.03,0.01558891454965358,-4.752088675000001,0.24791132499999868
0.03,0.016166281755196306,-3.4897013100000005,1.5102986899999995
0.03,0.01674364896073903,-3.3851857150000004,1.6148142849999996
0.03,0.017321016166281754,-7.917226430000001,-2.9172264300000013
0.03,0.01789838337182448,-1.4636493550000003,3.5363506449999997
0.03,0.018475750577367205,-4.284974040000001,0.7150259599999993
0.03,0.01905311778290993,-2.67385347,2.32614653
0.03,0.019630484988452657,-1.7142780500000003,3.2857219499999997
0.03,0.02020785219399538,-5.453282460000001,-0.4532824600000014
0.03,0.020785219399538105,-5.134517350000001,-0.1345173500000012
0.03,0.021362586605080832,-3.8508094,1.1491905999999998
0.03,0.021939953810623556,-3.6440146350000004,1.3559853649999996
0.03,0.022517321016166283,-5.136306490000001,-0.13630649000000084
0.04,0.023094688221709007,-2.828464985,2.171535015
0.04,0.02367205542725173,-1.9268875200000004,3.07311248
0.04,0.02424942263279446,-4.297647115000001,0.7023528849999989
0.04,0.024826789838337183,-5.670662970000001,-0.6706629700000013
0.04,0.025404157043879907,-4.1846331050000005,0.8153668949999995
0.04,0.025981524249422634,-5.099330930000001,-0.0993309300000007
0.04,0.026558891454965358,-4.288403225000001,0.7115967749999994
0.04,0.027136258660508082,-3.5696162300000003,1.4303837699999997
0.04,0.02771362586605081,-5.672303015000001,-0.6723030150000007
0.04,0.028290993071593534,-3.8670607550000002,1.1329392449999998
0.04,0.028868360277136258,-3.2721717050000003,1.7278282949999997
0.04,0.029445727482678985,-3.4749409050000004,1.5250590949999996
0.04,0.03002309468822171,-6.363209245000001,-1.363209245000001
0.04,0.030600461893764433,-6.053389835000001,-1.0533898350000008
0.04,0.03117782909930716,-3.9606924150000005,1.0393075849999995
0.04,0.03175519630484989,-2.13084948,2.86915052
0.04,0.03233256351039261,-4.165548945,0.8344510549999997
0.04,0.032909930715935336,-1.4055023050000002,3.594497695
0.04,0.03348729792147806,-4.760139805000001,0.23986019499999944
0.04,0.034064665127020784,-1.6925101800000002,3.30748982
0.04,0.03464203233256351,-3.2733644650000002,1.7266355349999998
0.04,0.03521939953810624,-3.9806711450000005,1.0193288549999995
0.04,0.03579676674364896,-4.027636070000001,0.9723639299999993
0.04,0.036374133949191687,-1.5553427800000004,3.44465722
0.04,0.03695150115473441,-3.3003506600000003,1.6996493399999997
0.04,0.037528868360277134,-2.8761753850000003,2.1238246149999997
0.04,0.03810623556581986,-3.1115963900000003,1.8884036099999997
0.04,0.03868360277136259,-2.55249014,2.44750986
0.04,0.03926096997690531,-3.17361991,1.8263800899999998
0.04,0.03983833718244804,-4.232790790000001,0.767209209999999
0.04,0.04041570438799076,-2.7218620600000003,2.2781379399999997
0.04,0.040993071593533485,-3.036899795,1.963100205
0.04,0.04157043879907621,-2.8745353400000004,2.1254646599999996
0.04,0.04214780600461894,-2.4047369950000004,2.5952630049999996
0.04,0.042725173210161664,-5.481908700000001,-0.48190870000000086
0.04,0.04330254041570439,-4.349979460000001,0.650020539999999
0.04,0.04387990762124711,-4.027337880000001,0.972662119999999
0.04,0.044457274826789836,-5.516051455000001,-0.5160514550000013
0.04,0.04503464203233257,-3.0725335000000005,1.9274664999999995
