Timestamp,,Depth [cm],Force [Pounds/Raw],Force [Offset]
0.017,-0.390731144,0.052540416,-3.93847726,1.06152274
0.017,-0.368438459,0.053117783,-6.45490267,-1.45490267
0.017,-0.375911101,0.05369515,-4.343568375,0.656431625
0.017,-0.413125213,0.054272517,-1.161881075,3.838118925
0.017,-0.459848604,0.054849885,-5.088446995,-0.088446995
0.017,-0.503041425,0.055427252,-5.234560095,-0.234560095
0.017,-0.482338094,0.056004619,-4.365932625,0.634067375
0.017,-0.430787006,0.056581986,-5.67841591,-0.67841591
0.017,-0.420022347,0.057159353,-4.181651205,0.818348795
0.017,-0.423561863,0.057736721,-6.964062095,-1.964062095
0.017,-0.365918754,0.058314088,-6.90099491,-1.90099491
0.017,-0.284664961,0.058891455,-8.390603055,-3.390603055
0.017,-0.277550147,0.059468822,-2.749146445,2.250853555
0.017,-0.273605094,0.060046189,-7.42491474,-2.42491474
0.017,-0.263123715,0.060623557,-7.15982383,-2.15982383
0.017,-0.238499185,0.061200924,-4.451811345,0.548188655
0.017,-0.277893066,0.061778291,-4.952770545,0.047229455
0.017,-0.31914467,0.062355658,-7.00744874,-2.00744874
0.017,-0.249732002,0.062933025,-6.10244209,-1.10244209
0.017,-0.23494476,0.063510393,-2.81221363,2.18778637
0.017,-0.289191485,0.06408776,-2.179305355,2.820694645
0.017,-0.363032275,0.064665127,-6.22857646,-1.22857646
0.017,-0.306859242,0.065242494,-6.13136652,-1.13136652
0.017,-0.360279981,0.065819861,-7.767385955,-2.767385955
0.017,-0.367218862,0.066397229,-7.691049315,-2.691049315
0.017,-0.36324399,0.066974596,-4.17255641,0.82744359
0.017,-0.371178825,0.067551963,-5.772793045,-0.772793045
0.017,-0.376087033,0.06812933,-5.153154225,-0.153154225
0.017,-0.375070205,0.068706697,-4.575262005,0.424737995
0.017,-0.417177615,0.069284065,-3.261436865,1.738563135
0.017,-0.508954533,0.069861432,-9.697569825,-4.697569825
0.017,-0.362990528,0.070438799,-3.80339719,1.19660281
0.017,-0.438683078,0.071016166,-8.260592215,-3.260592215
0.017,-0.43104345,0.071593533,-4.21340844,0.78659156
0.017,-0.47057748,0.072170901,-4.657860635,0.342139365
0.017,-0.501419272,0.072748268,-4.01839218,0.98160782
0.017,-0.487842681,0.073325635,-9.430987965,-4.430987965
0.017,-0.404167585,0.073903002,-6.270173965,-1.270173965
0.017,-0.446254122,0.07448037,-6.0007593,-1.0007593
0.017,-0.425136306,0.075057737,-4.868979155,0.131020845
0.017,-0.450801519,0.075635104,-3.781182035,1.218817965
0.017,-0.520431866,0.076212471,-7.78512826,-2.78512826
0.017,-0.449924841,0.076789838,-5.548255975,-0.548255975
0.017,-0.455650089,0.077367206,-3.0099136,1.9900864
0.017,-0.472748303,0.077944573,-4.624463355,0.375536645
0.017,-0.509700008,0.07852194,-5.95245252,-0.95245252
0.017,-0.534393122,0.079099307,-4.28258852,0.71741148
0.017,-0.526845933,0.079676674,-5.93635026,-0.93635026
0.017,-0.56599828,0.080254042,-1.95372462,3.04627538
0.017,-0.639800305,0.080831409,-7.14342338,-2.14342338
0.017,-0.565160366,0.081408776,-2.82384304,2.17615696
0.017,-0.658926212,0.081986143,-6.82853474,-1.82853474
0.017,-0.584402567,0.08256351,-6.204273975,-1.204273975
0.017,-0.607533165,0.083140878,-3.49805063,1.50194937
0.017,-0.638667183,0.083718245,-7.24808807,-2.24808807
0.017,-0.606242002,0.084295612,-4.19939351,0.80060649
0.017,-0.608564903,0.084872979,-1.788378265,3.211621735
0.017,-0.689359483,0.085450346,-5.14018296,-0.14018296
0.017,-0.714774217,0.086027714,-4.35862697,0.64137303
0.017,-0.734824512,0.086605081,-4.08190665,0.91809335
0.017,-0.727477111,0.087182448,-2.838305255,2.161694745
0.017,-0.857088376,0.087759815,-8.034862385,-3.034862385
0.017,-0.789622889,0.088337182,-2.55189376,2.44810624
0.017,-0.844811894,0.08891455,-6.900845815,-1.900845815
0.017,-0.848879205,0.089491917,-5.92859732,-0.92859732
0.017,-0.858555471,0.090069284,-6.42150539,-1.42150539
0.017,-0.818019522,0.090646651,-7.015350775,-2.015350775
0.017,-0.875594048,0.091224018,-3.53681533,1.46318467
0.017,-0.959188632,0.091801386,-5.363079985,-0.363079985
0.017,-0.96855478,0.092378753,-5.52454987,-0.52454987
0.017,-0.934668468,0.09295612,-5.87134484,-0.87134484
0.017,-1.021394048,0.093533487,-3.41992485,1.58007515
0.017,-1.070750457,0.094110855,-8.802403445,-3.802403445
0.017,-1.028407477,0.094688222,-8.11433002,-3.11433002
0.017,-1.002527567,0.095265589,-7.49230568,-2.49230568
0.017,-0.931433107,0.095842956,-4.569298205,0.430701795
0.017,-0.910374929,0.096420323,-6.018203415,-1.018203415
0.017,-0.825328159,0.096997691,-5.10231283,-0.10231283
0.017,-0.837216995,0.097575058,-6.6806325,-1.6806325
0.017,-0.820017395,0.098152425,-7.850282775,-2.850282775
0.017,-0.77683352,0.098729792,-2.399369575,2.600630425
0.017,-0.870500962,0.099307159,-7.58802467,-2.58802467
0.017,-0.860383376,0.099884527,-7.878610825,-2.878610825
0.017,-0.857505842,0.100461894,-6.19010995,-1.19010995
0.017,-0.778226067,0.101039261,-6.19995022,-1.19995022
0.017,-0.755876726,0.101616628,-3.339562645,1.660437355
0.017,-0.798010973,0.102193995,-5.24723317,-0.24723317
0.017,-0.81440546,0.102771363,-8.374500795,-3.374500795
0.017,-0.764208155,0.10334873,-4.94486851,0.05513149
0.017,-0.778190284,0.103926097,-6.15223982,-1.15223982
0.017,-0.852555888,0.104503464,-7.26269938,-2.26269938
0.017,-0.813257428,0.105080831,-4.259776985,0.740223015
0.017,-0.799021837,0.105658199,-5.834518375,-0.834518375
0.017,-0.785707654,0.106235566,-3.86482433,1.13517567
0.017,-0.874866464,0.106812933,-6.472048595,-1.472048595
0.017,-0.81264912,0.1073903,-7.187108215,-2.187108215
0.017,-0.785650998,0.107967667,-3.905229075,1.094770925
0.017,-0.846413174,0.108545035,-7.89396761,-2.89396761
0.017,-0.805045275,0.109122402,-5.64382587,-0.64382587
0.017,-0.82584701,0.109699769,-3.411426435,1.588573565
0.017,-0.834658524,0.110277136,-7.512135315,-2.512135315
0.017,-0.879053052,0.110854503,-3.1023525,1.8976475
0.017,-0.920304656,0.111431871,-7.36080389,-2.36080389
0.017,-0.885905458,0.112009238,-5.054751525,-0.054751525
0.017,-0.930630976,0.112586605,-5.62682904,-0.62682904
0.017,-0.931412234,0.113163972,-4.315538515,0.684461485
0.017,-1.004638752,0.113741339,-5.82810729,-0.82810729
0.017,-0.925824153,0.114318707,-6.410919645,-1.410919645
0.017,-0.92646228,0.114896074,-5.36114175,-0.36114175
0.017,-0.907351283,0.115473441,-3.71453657,1.28546343
0.017,-0.931811808,0.116050808,-9.318868525,-4.318868525
0.017,-0.856178897,0.116628176,-4.66158801,0.33841199
0.017,-0.914973019,0.117205543,-5.31134402,-0.31134402
0.017,-0.960616962,0.11778291,-7.104211395,-2.104211395
0.017,-0.880538038,0.118360277,-6.412410595,-1.412410595
0.017,-0.850587834,0.118937644,-4.39470796,0.60529204
0.017,-0.875740161,0.119515012,-9.894077035,-4.894077035
0.017,-0.793222042,0.120092379,-7.71654456,-2.71654456
0.017,-0.701662802,0.120669746,-5.83138738,-0.83138738
0.017,-0.695669183,0.121247113,-3.83023429,1.16976571
0.017,-0.782937469,0.12182448,-10.20762382,-5.20762382
0.017,-0.637939599,0.122401848,-5.88774529,-0.88774529
0.017,-0.615456073,0.122979215,-6.685254445,-1.685254445
0.017,-0.659349641,0.123556582,-6.820334515,-1.820334515
0.017,-0.644282101,0.124133949,-3.93758269,1.06241731
0.017,-0.692075994,0.124711316,-3.516389315,1.483610685
0.017,-0.721274759,0.125288684,-1.76586492,3.23413508
0.017,-0.77901627,0.125866051,-5.696754595,-0.696754595
0.017,-0.762842445,0.126443418,-5.82065254,-0.82065254
0.017,-0.745302909,0.127020785,-5.691088985,-0.691088985
0.017,-0.675568196,0.127598152,-7.082741715,-2.082741715
0.017,-0.723606605,0.12817552,-7.082145335,-2.082145335
0.017,-0.75272784,0.128752887,-7.73473415,-2.73473415
0.017,-0.771230529,0.129330254,-2.226121185,2.773878815
0.017,-0.755593446,0.129907621,-5.082483195,-0.082483195
0.017,-0.75202113,0.130484988,-5.446274995,-0.446274995
0.017,-0.792712137,0.131062356,-6.06695748,-1.06695748
0.017,-0.824350096,0.131639723,-5.864635565,-0.864635565
0.017,-0.852493268,0.13221709,-5.643974965,-0.643974965
0.017,-0.814411423,0.132794457,-9.870520025,-4.870520025
0.017,-0.766426689,0.133371824,-5.297776375,-0.297776375
0.017,-0.762147662,0.133949192,-3.547997455,1.452002545
0.017,-0.786315962,0.134526559,-5.1688092,-0.1688092
0.017,-0.778571967,0.135103926,-8.32276483,-3.32276483
0.017,-0.7270835,0.135681293,-3.36118142,1.63881858
0.017,-0.776105936,0.136258661,-5.837202085,-0.837202085
0.017,-0.712165054,0.136836028,-6.94333789,-1.94333789
0.017,-0.663214184,0.137413395,-5.825572675,-0.825572675
0.017,-0.701937137,0.137990762,-6.68391259,-1.68391259
0.017,-0.681481303,0.138568129,-3.85200216,1.14799784
0.017,-0.718919058,0.139145497,-9.731861675,-4.731861675
0.017,-0.604378315,0.139722864,-5.16493273,-0.16493273
0.017,-0.576133758,0.140300231,-5.64084397,-0.64084397
0.017,-0.624535959,0.140877598,-7.29102743,-2.29102743
0.017,-0.508131529,0.141454965,-5.66589193,-0.66589193
0.017,-0.543228492,0.142032333,-7.97686443,-2.97686443
0.017,-0.531139869,0.1426097,-1.887377345,3.112622655
0.017,-0.538087696,0.143187067,-6.442825975,-1.442825975
0.017,-0.558310942,0.143764434,-4.405591895,0.594408105
0.017,-0.605660532,0.144341801,-4.937562855,0.062437145
0.017,-0.695481324,0.144919169,-5.537222945,-0.537222945
0.017,-0.700637029,0.145496536,-7.601294125,-2.601294125
0.028,-0.631623935,0.146073903,-7.593541185,-2.593541185
0.028,-0.544218482,0.14665127,-3.10026517,1.89973483
0.028,-0.629605189,0.147228637,-4.914900415,0.085099585
0.028,-0.620051181,0.147806005,-5.652324285,-0.652324285
0.028,-0.648113842,0.148383372,-5.7681711,-0.7681711
0.028,-0.615960015,0.148960739,-3.138582585,1.861417415
0.028,-0.672532621,0.149538106,-5.53170643,-0.53170643
0.028,-0.630908279,0.150115473,-8.19364856,-3.19364856
0.028,-0.538663203,0.150692841,-2.95773035,2.04226965
0.028,-0.568783375,0.151270208,-4.76356899,0.23643101
0.028,-0.542116243,0.151847575,-8.879932845,-3.879932845
0.028,-0.554595494,0.152424942,-6.06695748,-1.06695748
0.028,-0.489694441,0.153002309,-6.32727735,-1.32727735
0.028,-0.503256122,0.153579677,-4.976327555,0.023672445
0.028,-0.546565238,0.154157044,-4.6529405,0.3470595
0.028,-0.605079061,0.154734411,-4.888063315,0.111936685
0.028,-0.636186242,0.155311778,-4.94367575,0.05632425
0.028,-0.626867805,0.155889145,-2.204353315,2.795646685
0.028,-0.687269171,0.156466513,-9.484662165,-4.484662165
0.028,-0.634981555,0.15704388,-8.538207105,-3.538207105
0.028,-0.58090778,0.157621247,-8.659868625,-3.659868625
0.028,-0.462618789,0.158198614,-1.444267005,3.555732995
0.028,-0.559458973,0.158775982,-4.903867385,0.096132615
0.028,-0.578769758,0.159353349,-7.480825365,-2.480825365
0.028,-0.523035065,0.159930716,-7.64885543,-2.64885543
0.028,-0.480629465,0.160508083,-7.271794175,-2.271794175
0.028,-0.390635723,0.16108545,-3.73988272,1.26011728
0.028,-0.428765278,0.161662818,-7.471283285,-2.471283285
0.028,-0.450873085,0.162240185,-5.08382505,-0.08382505
0.028,-0.441745489,0.162817552,-4.75641243,0.24358757
0.028,-0.380577774,0.163394919,-4.781609485,0.218390515
0.028,-0.387621022,0.163972286,-5.748341465,-0.748341465
0.028,-0.381227828,0.164549654,-5.81230322,-0.81230322
0.028,-0.309536989,0.165127021,-2.640158,2.359842
0.028,-0.389129863,0.165704388,-4.49579437,0.50420563
0.028,-0.350063992,0.166281755,-7.761720345,-2.761720345
0.028,-0.266048959,0.166859122,-5.66112089,-0.66112089
0.028,-0.266096669,0.16743649,-5.723889885,-0.723889885
0.028,-0.322639457,0.168013857,-4.004824535,0.995175465
0.028,-0.368390749,0.168591224,-3.75270489,1.24729511
0.028,-0.329882492,0.169168591,-8.06095401,-3.06095401
0.028,-0.26768304,0.169745958,-1.470805915,3.529194085
0.028,-0.310100568,0.170323326,-7.42074008,-2.42074008
0.028,-0.356615226,0.170900693,-7.3724333,-2.3724333
0.028,-0.263061095,0.17147806,-2.234768695,2.765231305
0.028,-0.362555171,0.172055427,-7.453988265,-2.453988265
0.028,-0.40838101,0.172632794,-6.7730714,-1.7730714
0.028,-0.420615746,0.173210162,-9.428602445,-4.428602445
0.028,-0.339224785,0.173787529,-5.7950082,-0.7950082
0.028,-0.338237776,0.174364896,-4.150639445,0.849360555
0.028,-0.381445507,0.174942263,-3.223268545,1.776731455
0.028,-0.434144626,0.17551963,-7.369600495,-2.369600495
0.028,-0.419160578,0.176096998,-4.437200035,0.562799965
0.028,-0.391625714,0.176674365,-7.05545733,-2.05545733
0.028,-0.387266176,0.177251732,-4.160479715,0.839520285
0.028,-0.441429408,0.177829099,-5.967212925,-0.967212925
0.028,-0.485155989,0.178406467,-3.450489325,1.549510675
0.028,-0.50457114,0.178983834,-3.581394735,1.418605265
0.028,-0.555967168,0.179561201,-4.463738945,0.536261055
0.028,-0.537616556,0.180138568,-3.430212405,1.569787595
0.028,-0.632032456,0.180715935,-9.50389542,-4.50389542
0.028,-0.528888535,0.181293303,-2.821904805,2.178095195
0.028,-0.596592574,0.18187067,-7.00536141,-2.00536141
0.028,-0.583916517,0.182448037,-7.141783335,-2.141783335
0.028,-0.563624688,0.183025404,-7.578631685,-2.578631685
0.028,-0.540282374,0.183602771,-6.443422355,-1.443422355
0.028,-0.49479349,0.184180139,-4.477753875,0.522246125
0.028,-0.460087156,0.184757506,-5.224421635,-0.224421635
0.028,-0.477766841,0.185334873,-6.87028134,-1.87028134
0.028,-0.413578462,0.18591224,-5.834518375,-0.834518375
0.028,-0.374700449,0.186489607,-2.74541907,2.25458093
0.028,-0.460790884,0.187066975,-6.286276225,-1.286276225
0.028,-0.496430553,0.187644342,-5.869406605,-0.869406605
0.028,-0.470744466,0.188221709,-4.69409072,0.30590928
0.028,-0.445794909,0.188799076,-5.528575435,-0.528575435
0.028,-0.366723867,0.189376443,-2.772107075,2.227892925
0.028,-0.404251078,0.189953811,-5.646360485,-0.646360485
0.028,-0.41147324,0.190531178,-8.576673615,-3.576673615
0.028,-0.31952039,0.191108545,-4.627445255,0.372554745
0.028,-0.366049957,0.191685912,-1.698026695,3.301973305
0.028,-0.414365683,0.192263279,-5.133771875,-0.133771875
0.028,-0.413915416,0.192840647,-5.428681785,-0.428681785
0.028,-0.384818036,0.193418014,-2.22776123,2.77223877
0.028,-0.460152758,0.193995381,-6.61980174,-1.61980174
0.028,-0.462430929,0.194572748,-2.542500775,2.457499225
0.028,-0.540324121,0.195150115,-3.56096872,1.43903128
0.028,-0.551545011,0.195727483,-5.66350641,-0.66350641
0.028,-0.556736499,0.19630485,-8.551029275,-3.551029275
0.028,-0.527403548,0.196882217,-6.29238912,-1.29238912
0.028,-0.513552623,0.197459584,-1.82729206,3.17270794
0.028,-0.523747739,0.198036952,-4.950981405,0.049018595
0.028,-0.430927156,0.198614319,-3.59168229,1.40831771
0.028,-0.464571933,0.199191686,-9.746472985,-4.746472985
0.028,-0.364749849,0.199769053,-2.69472677,2.30527323
0.028,-0.446009606,0.20034642,-7.209472465,-2.209472465
0.028,-0.378403969,0.200923788,-9.745280225,-4.745280225
