Timestamp,Depth [cm],Force [Pounds/Raw],Force [Offset]
0.01,0.0005773672055427252,-6.044891420000001,-1.0448914200000008
0.01,0.0011547344110854503,-6.760696515000001,-1.7606965150000011
0.01,0.0017321016166281756,-3.7911714000000005,1.2088285999999995
0.01,0.0023094688221709007,-2.900030585,2.099969415
0.01,0.002886836027713626,-6.011941425000001,-1.0119414250000007
0.01,0.003464203233256351,-2.29634493,2.70365507
0.01,0.0040415704387990765,-1.7974730600000004,3.2025269399999994
0.01,0.004618937644341801,-11.260234520000003,-6.260234520000003
0.01,0.005196304849884526,-3.4455691900000005,1.5544308099999995
0.01,0.005773672055427252,-4.165847135000001,0.8341528649999992
0.01,0.006351039260969977,-6.427916475000001,-1.4279164750000009
0.01,0.006928406466512702,-5.666488310000001,-0.666488310000001
0.01,0.007505773672055427,-2.7014360450000003,2.2985639549999997
0.01,0.008083140877598153,-4.984080495000001,0.01591950499999939
0.01,0.008660508083140877,-6.525722795000001,-1.525722795000001
0.01,0.009237875288683603,-3.4704680550000004,1.5295319449999996
0.01,0.009815242494226328,-3.297219665,1.702780335
0.01,0.010392609699769052,-4.963058100000001,0.03694189999999864
0.01,0.010969976905311778,-4.957839775000001,0.04216022499999905
0.01,0.011547344110854504,-3.0779009200000003,1.9220990799999997
0.01,0.01212471131639723,-5.926659085000001,-0.9266590850000007
0.01,0.012702078521939953,-4.684399545000001,0.31560045499999934
0.01,0.013279445727482679,-4.353855930000001,0.6461440699999992
0.01,0.013856812933025405,-2.9674215250000002,2.0325784749999998
0.01,0.014434180138568129,-2.39206392,2.60793608
0.01,0.015011547344110854,-3.20522805,1.79477195
0.01,0.01558891454965358,-2.26920964,2.73079036
0.01,0.016166281755196306,-4.556177845000001,0.44382215499999944
0.01,0.01674364896073903,-7.756651115000001,-2.7566511150000013
0.01,0.017321016166281754,-6.550174375000001,-1.550174375000001
0.01,0.01789838337182448,-4.486252290000001,0.5137477099999987
0.01,0.018475750577367205,-3.6232904300000004,1.3767095699999996
0.01,0.01905311778290993,-5.368745595000001,-0.3687455950000009
0.01,0.019630484988452657,-6.663337480000001,-1.663337480000001
0.01,0.02020785219399538,-4.721524200000001,0.27847579999999894
0.01,0.020785219399538105,-3.7846112200000004,1.2153887799999996
0.01,0.021362586605080832,-4.015857565000001,0.984142434999999
0.01,0.021939953810623556,-5.541397605000001,-0.5413976050000011
0.01,0.022517321016166283,-4.980949500000001,0.01905049999999875
0.01,0.023094688221709007,-6.981655305000001,-1.9816553050000012
0.01,0.02367205542725173,-3.601969845,1.3980301549999998
0.01,0.02424942263279446,-5.073239305000001,-0.07323930500000131
0.01,0.024826789838337183,-1.6476325850000002,3.352367415
0.01,0.025404157043879907,-6.213070580000001,-1.213070580000001
0.01,0.025981524249422634,-3.5517248300000004,1.4482751699999996
0.01,0.026558891454965358,-2.947442795,2.052557205
0.01,0.027136258660508082,-10.642981220000001,-5.642981220000001
0.01,0.02771362586605081,-4.661438915000001,0.3385610849999994
0.01,0.028290993071593534,-8.462615940000001,-3.462615940000001
0.01,0.028868360277136258,-5.378436770000001,-0.3784367700000013
0.01,0.029445727482678985,-4.4623970900000005,0.5376029099999995
0.01,0.03002309468822171,-6.626063730000001,-1.6260637300000012
0.01,0.030600461893764433,-2.47496074,2.52503926
0.01,0.03117782909930716,-4.4538986750000005,0.5461013249999995
0.01,0.03175519630484989,-3.9474229600000004,1.0525770399999996
0.01,0.03233256351039261,-1.7284420750000002,3.2715579249999998
0.01,0.032909930715935336,-7.443253425000002,-2.4432534250000018
0.01,0.03348729792147806,-5.439565720000001,-0.43956572000000094
0.01,0.034064665127020784,-3.9134293,1.0865706999999998
0.01,0.03464203233256351,-4.767147270000001,0.2328527299999994
0.01,0.03521939953810624,-3.448401995,1.5515980049999998
0.01,0.03579676674364896,-8.369431565000001,-3.369431565000001
0.01,0.036374133949191687,-6.255413560000001,-1.255413560000001
0.01,0.03695150115473441,-5.442398525000001,-0.44239852500000065
0.01,0.037528868360277134,-3.7928114450000003,1.2071885549999997
0.01,0.03810623556581986,-7.502593235000002,-2.5025932350000017
0.01,0.03868360277136259,-1.118941715,3.881058285
0.01,0.03926096997690531,-4.062077015000001,0.9379229849999993
0.01,0.03983833718244804,-6.876543330000001,-1.8765433300000014
0.01,0.04041570438799076,-2.9143437050000003,2.0856562949999997
0.01,0.040993071593533485,-6.5983320600000015,-1.5983320600000015
0.01,0.04157043879907621,-4.893728925000001,0.10627107499999866
0.01,0.04214780600461894,-6.324146355000001,-1.3241463550000008
0.01,0.042725173210161664,-4.018690370000001,0.9813096299999993
0.01,0.04330254041570439,-2.5827564250000004,2.4172435749999996
0.01,0.04387990762124711,-2.445887215,2.554112785
0.01,0.044457274826789836,-4.228616130000001,0.7713838699999993
0.01,0.04503464203233257,-5.552728825000001,-0.5527288250000009
0.01,0.04561200923787529,-5.260800815000001,-0.2608008150000014
0.01,0.046189376443418015,-5.737457530000001,-0.7374575300000012
0.01,0.04676674364896074,-5.841078555000001,-0.8410785550000011
0.01,0.04734411085450346,-2.239241545,2.760758455
0.01,0.04792147806004619,-4.104569090000001,0.8954309099999991
0.01,0.04849884526558892,-2.3395824800000002,2.6604175199999998
0.01,0.04907621247113164,-3.2240140200000003,1.7759859799999997
0.01,0.049653579676674366,-4.934580955000001,0.06541904499999873
0.01,0.05023094688221709,-4.320458650000001,0.6795413499999992
0.01,0.050808314087759814,-4.938606520000001,0.06139347999999867
0.01,0.05138568129330254,-3.7021616850000005,1.2978383149999995
