Timestamp (seconds),Torque [Pound-inches/Raw],
0.01,3.11851659,1.853478288
0.01,0.11136694999999998,1.801723942
0.01,0.8976265850000001,1.801723942
0.01,2.16006965,1.801723942
0.01,4.003752975,1.809462492
0.01,2.572941395,1.693973519
0.01,4.567518980000001,1.64514197
0.01,1.8126839700000001,1.64514197
0.01,1.6330124450000003,1.64514197
0.01,0.552568645,1.64514197
0.01,0.7304509100000001,1.675890735
0.01,2.3020465800000003,1.714950238
0.01,0.85510269,1.714950238
0.01,1.3650417900000003,1.722020954
0.01,0.526027955,1.722020954
0.01,4.424527285000001,1.842489947
0.01,0.7330146650000001,1.842489947
0.01,1.347327265,1.813786537
0.01,1.3116622000000002,1.838337025
0.01,4.120651295000001,1.838337025
0.01,0.10871203000000007,1.805524671
0.01,0.8215540650000001,1.805524671
0.01,2.9205341200000006,1.828734078
0.01,1.29108571,1.828734078
0.01,1.7592754100000003,1.855616496
0.01,0.226923325,1.878556448
0.01,0.16358267000000004,1.961138105
0.01,1.313033115,1.961138105
0.01,1.55858008,1.995248893
0.01,1.34628353,2.019508272
0.01,2.1161126450000003,1.977956069
0.01,1.366085525,1.977956069
0.01,0.8764536750000002,1.947613202
0.01,0.30612705000000007,1.863383615
0.01,0.5217328800000001,1.939291325
0.01,2.5440439950000004,1.939291325
0.01,3.8464472,1.939291325
0.01,3.0898884300000002,1.8389147
0.01,2.533577675,1.828351198
0.01,1.5745632850000004,1.791234015
0.01,2.2535874550000004,1.816243872
0.01,2.29008921,1.816243872
0.01,2.1809443500000003,1.718551725
0.01,0.87717023,1.718551725
0.01,0.570759455,1.762834961
0.01,1.6906871100000003,1.829061378
0.01,2.2322654400000004,1.866039164
0.01,4.713223535,1.866039164
0.01,0.17831509499999998,1.687558954
0.01,1.0019711150000001,1.605000812
0.01,2.08342968,1.605000812
0.01,0.8172300200000001,1.579820345
0.01,0.26512317500000004,1.585147481
0.01,2.31484064,1.585147481
0.01,0.20264818000000007,1.627456025
0.01,0.40301633000000003,1.627456025
0.01,1.9322661800000005,1.57145695
0.01,0.8709078200000001,1.57145695
0.01,3.1739836500000003,1.628168623
0.01,1.106046405,1.628168623
0.01,2.4180213,1.653031586
0.01,3.3450360550000005,1.6147821
0.01,0.989446295,1.6147821
0.01,1.5683008750000003,1.713303229
