10log(frequency) /Hz,phase /degrees
5.0,-68.50377345445594
4.8,-75.8512229591749
4.6,-78.86124386453588
4.4,-84.0935644536746
4.199999999999999,-89.49130255151063
4.0,-89.32664583916994
3.8,-89.93929266569788
3.5999999999999996,-89.73183600070604
3.4,89.02174732310239
3.199999999999999,88.69023146866034
3.0,83.50938015298065
2.8,73.94445895489248
2.5999999999999996,-79.71326513700346
2.4,70.73964783377586
2.199999999999999,59.14346715690145
2.0,54.38143131114195
1.7999999999999998,47.43215861055732
1.5999999999999996,41.09034143019397
1.4,26.03766230846597
1.199999999999999,10.068713373949846
1.0,27.37599457992661
0.7999999999999998,35.45313115905128
0.5999999999999998,39.98676895671784
0.4,29.66242296150585
