10log(frequency) /Hz,10log|Z| /ohm
5.0,4.954364509287168
4.8,4.940998665753507
4.6,4.943452930448632
4.4,4.940232580414972
4.199999999999999,4.94138575413767
4.0,4.938125459606089
3.8,4.9379313988645785
3.5999999999999996,4.939260196582236
3.4,4.9414834000558505
3.199999999999999,4.941829037449087
3.0,4.943355778902851
2.8,4.944952167876036
2.5999999999999996,4.947140367563882
2.4,4.94946681551749
2.199999999999999,4.952274090146045
2.0,4.955631552685891
1.7999999999999998,4.9600325669139
1.5999999999999996,4.966744767252385
1.4,4.974504963880191
1.199999999999999,4.983621805786921
1.0,4.994588191589564
0.7999999999999998,5.007341262142516
0.5999999999999998,5.022103246524746
0.4,5.038856906118168
