10log(frequency) /Hz,phase /degrees
5.0,26.98971585457579
4.8,16.56274188323392
4.6,10.640235283834324
4.4,6.524203751775395
4.199999999999999,4.5297985839430694
4.0,2.54156343829727
3.8,1.9700446851661917
3.5999999999999996,1.5859684075917373
3.4,1.4363961954018023
3.199999999999999,1.4041527789821027
3.0,1.1609310638238857
2.8,1.3074621375008642
2.5999999999999996,1.5062158398839867
2.4,1.8089294361891533
2.199999999999999,2.173285973094672
2.0,2.6881876592696243
1.7999999999999998,3.333035004883226
1.5999999999999996,3.7554476666261185
1.4,4.394582915825056
1.199999999999999,5.2118900417444225
1.0,6.059723645834056
0.7999999999999998,7.025119156487817
0.5999999999999998,8.085557891768703
0.4,9.344713834525638
