10log(frequency) /Hz,phase /degrees
5.0,-67.13341770799082
4.8,-77.14793779485727
4.6,-75.9831032347197
4.4,-81.75747299097068
4.199999999999999,-79.55369742317305
4.0,-88.51689653290691
3.8,-87.12098697959385
3.5999999999999996,-89.06989467314068
3.4,-83.9526691057886
3.199999999999999,-75.0923731002011
3.0,84.74889638564295
2.8,86.56197709898781
2.5999999999999996,86.79805165256415
2.4,80.07157772537944
2.199999999999999,63.120482767677366
2.0,65.48323051670941
1.7999999999999998,37.44748344911756
1.5999999999999996,43.10951986089754
1.4,5.593147107768276
1.199999999999999,45.04498719732893
1.0,24.13373674553296
0.7999999999999998,23.520046902588373
0.5999999999999998,-26.83950344837878
0.4,81.02844781215657
0.19999999999999907,-85.19287601545707
