10log(frequency) /Hz,phase /degrees
5.0,-64.37668445527254
4.8,-74.81633884974251
4.6,-78.50413023072545
4.4,-83.25324400083299
4.199999999999999,-73.27078041192684
4.0,-87.39820593617449
3.8,-89.85154479016748
3.5999999999999996,-87.18991642815828
3.4,86.3052647305135
3.199999999999999,-66.28090483301716
3.0,84.3945199192087
2.8,83.44581070583337
2.5999999999999996,79.96129059078835
2.4,60.53722448456022
2.199999999999999,60.57918030050461
2.0,57.7810978705042
1.7999999999999998,-39.12707379303159
1.5999999999999996,38.931810011753754
1.4,19.92209403805791
1.199999999999999,62.81230597540915
1.0,35.20559158981559
0.7999999999999998,72.3135097686396
0.5999999999999998,30.154438091222193
0.4,-25.355975646065048
