10log(frequency) /Hz,phase /degrees
5.0,4.148021518128975
4.8,19.581713549337657
4.6,28.538838149853934
4.4,-0.6110419843692008
4.199999999999999,0.11014053423227742
4.0,3.0742573265789988
3.8,0.5943872201790488
3.5999999999999996,3.8200124679083993
3.4,7.931811952064307
3.199999999999999,-9.730315886918293
3.0,2.947628091914728
2.8,3.552897840756165
2.5999999999999996,1.4661912420722745
2.4,3.986948357725673
2.199999999999999,0.13929695735350175
2.0,3.1183935581693216
1.7999999999999998,-1.2127365783175668
1.5999999999999996,4.018923643408145
1.4,4.648544259085171
1.199999999999999,5.055202891189583
1.0,6.287318089008117
0.7999999999999998,7.646033626315565
0.5999999999999998,8.18678275311792
0.4,10.794060484689666
