10log(frequency) /Hz,phase /degrees
5.0,-66.89164891767281
5.0,-66.89164891767281
4.8,-78.06688184348714
4.8,-78.06688184348714
4.6,-76.6609985886903
4.6,-76.6609985886903
4.4,-81.2780260411659
4.4,-81.2780260411659
4.199999999999999,74.63084140438677
4.199999999999999,74.63084140438677
4.0,-89.73412090800167
4.0,-89.73412090800167
3.8,-89.00905153677435
3.8,-89.00905153677435
3.5999999999999996,89.71817042851215
3.5999999999999996,89.71817042851215
3.4,-86.94886850482223
3.4,-86.94886850482223
3.4,-86.94886850482223
3.0,86.56580882250873
3.0,86.56580882250873
2.8,81.77570344469399
2.8,81.77570344469399
2.5999999999999996,84.59690459774912
2.5999999999999996,84.59690459774912
2.4,78.63328798529791
2.4,78.63328798529791
2.199999999999999,50.80734078883091
2.199999999999999,50.80734078883091
2.0,70.63192709410204
2.0,70.63192709410204
2.0,70.63192709410204
2.0,70.63192709410204
2.0,70.63192709410204
1.5999999999999996,36.70108951388058
1.4,44.7383104752017
1.4,44.7383104752017
1.199999999999999,31.903539683594232
1.199999999999999,31.903539683594232
1.0,30.564939973124535
1.0,30.564939973124535
0.7999999999999998,13.549899689219925
0.7999999999999998,13.549899689219925
0.5999999999999998,70.9144968647382
0.5999999999999998,70.9144968647382
0.4,43.333921308222315
0.4,43.333921308222315
0.4,43.333921308222315
5.0,-66.89164891767281
5.0,-66.89164891767281
4.8,-78.06688184348714
4.8,-78.06688184348714
4.6,-76.6609985886903
4.6,-76.6609985886903
4.4,-81.2780260411659
4.4,-81.2780260411659
4.199999999999999,74.63084140438677
4.199999999999999,74.63084140438677
4.0,-89.73412090800167
4.0,-89.73412090800167
3.8,-89.00905153677435
3.8,-89.00905153677435
3.5999999999999996,89.71817042851215
3.5999999999999996,89.71817042851215
3.4,-86.94886850482223
3.4,-86.94886850482223
3.4,-86.94886850482223
3.0,86.56580882250873
3.0,86.56580882250873
2.8,81.77570344469399
2.8,81.77570344469399
2.5999999999999996,84.59690459774912
2.5999999999999996,84.59690459774912
2.4,78.63328798529791
2.4,78.63328798529791
2.199999999999999,50.80734078883091
2.199999999999999,50.80734078883091
2.0,70.63192709410204
2.0,70.63192709410204
2.0,70.63192709410204
2.0,70.63192709410204
2.0,70.63192709410204
1.5999999999999996,36.70108951388058
1.4,44.7383104752017
1.4,44.7383104752017
1.199999999999999,31.903539683594232
1.199999999999999,31.903539683594232
1.0,30.564939973124535
1.0,30.564939973124535
0.7999999999999998,13.549899689219925
0.7999999999999998,13.549899689219925
0.5999999999999998,70.9144968647382
0.5999999999999998,70.9144968647382
0.4,43.333921308222315
0.4,43.333921308222315
0.4,43.333921308222315
