10log(frequency) /Hz,10log|Z| /ohm
5.0,5.367847461118994
4.8,5.630606915803817
4.6,5.817382270369246
4.4,6.07653724661421
4.199999999999999,6.213280247186158
4.0,6.463796755599827
3.8,6.669120384263889
3.5999999999999996,6.869982135946749
3.4,7.104228041234828
3.199999999999999,7.176467544580794
3.0,7.439198274907171
2.8,7.64375516513447
2.5999999999999996,7.796376841914289
2.4,8.082892448359765
2.199999999999999,8.039588949514528
2.0,8.322233621164056
1.7999999999999998,8.041559214695722
1.5999999999999996,8.491226534794407
1.4,8.503499414582711
1.199999999999999,8.812338948958352
1.0,8.688322561979753
0.7999999999999998,8.701269019993815
0.5999999999999998,8.582260579375642
0.4,9.641418368972703
