10log(frequency) /Hz,10log|Z| /ohm
5.0,4.837221480652094
4.8,4.810719411150529
4.6,4.799290136614217
4.4,4.851453411581512
4.199999999999999,4.9331919385300464
4.0,4.920385629056018
3.8,4.943372916811982
3.5999999999999996,4.9098457646200515
3.4,4.88804558479982
3.199999999999999,4.863098821019499
3.0,4.919484916387205
2.8,4.918979004291711
2.5999999999999996,4.924002747075985
2.4,4.920575317282008
2.199999999999999,4.942791888452685
2.0,4.932666022834076
1.7999999999999998,5.0021777682989
1.5999999999999996,4.944238699085155
1.4,4.9470028984642065
1.199999999999999,4.969014891561448
1.0,4.974550082481745
0.7999999999999998,4.983439514707915
0.5999999999999998,5.0041355865853685
0.4,5.013836731561742
