10log(frequency) /Hz,10log|Z| /ohm
5.0,5.362654633748418
4.8,5.574962916939801
4.6,5.753736923142671
4.4,6.016632496358729
4.199999999999999,6.15741757035743
4.0,6.3884582819947004
3.8,6.584669595060753
3.5999999999999996,6.782185467367891
3.4,6.965152009315261
3.199999999999999,7.129139306881511
3.0,7.3673699595755
2.8,7.554921011741104
2.5999999999999996,7.6930963369729115
2.4,7.914879883960546
2.199999999999999,8.09855470992268
2.0,8.240812203853272
1.7999999999999998,8.273107626878394
1.5999999999999996,8.56469745952525
1.4,8.834596488182427
1.199999999999999,8.537196982420676
1.0,8.747044250931372
0.7999999999999998,8.707843985435131
0.5999999999999998,8.826324665136262
0.4,8.67258754342121
