10log(frequency) /Hz,phase /degrees
5.0,65.18988377149167
4.8,71.53859705020562
4.6,74.1684831778145
4.4,80.89242500198887
4.199999999999999,82.42539832078273
4.0,89.207652997376
3.8,89.66128855813434
3.5999999999999996,89.0159179762277
3.4,81.75933148656597
3.199999999999999,82.4601771108611
3.0,86.94226963219137
2.8,87.68159057492606
2.5999999999999996,83.85115027263939
2.4,72.24245898778022
2.199999999999999,78.16690000644738
2.0,76.7976953757904
1.7999999999999998,-13.456505388332857
1.5999999999999996,72.50474769220482
1.4,43.44268206201731
1.199999999999999,39.5813415940511
1.0,25.051391504109763
0.7999999999999998,31.801321243152152
0.5999999999999998,18.215453221387637
0.4,26.603252650585087
