10log(frequency) /Hz,phase /degrees
5.0,-68.73385457980199
4.8,-76.87130025821132
4.6,-77.1054848702724
4.4,-87.31361047897133
4.199999999999999,-88.55503926815821
4.0,-87.70937292368751
3.8,87.55684892962755
3.5999999999999996,-89.10945216854138
3.4,88.86578118088283
3.199999999999999,88.03295583637917
3.0,85.00637758472632
2.8,82.91594482972552
2.5999999999999996,78.77312500110276
2.4,78.05945024114884
2.199999999999999,70.71339648103631
2.0,60.069680936175416
1.7999999999999998,-31.167442838650594
1.5999999999999996,44.66484133802146
1.4,26.794665216034176
1.199999999999999,5.342986470702311
1.0,26.005281937965762
0.7999999999999998,18.016020266407807
0.5999999999999998,52.42220852467038
0.4,25.08419471113337
