10log(frequency) /Hz,10log|Z| /ohm
5.0,4.423825150206657
4.8,4.782096942444286
4.6,5.218502390118896
4.4,5.129334804402482
4.199999999999999,5.16107454585368
4.0,5.285368760061857
3.8,5.278013779074223
3.5999999999999996,5.251090127907475
3.4,5.29365484463131
3.199999999999999,5.448926556775925
3.0,5.266398213609635
2.8,5.264567134191092
2.5999999999999996,5.284437800794392
2.4,5.260647675066323
2.199999999999999,5.2408208176972755
2.0,5.2750905574113
1.7999999999999998,5.2144220356235165
1.5999999999999996,5.274982490348649
1.4,5.304103670866564
1.199999999999999,5.317031344661406
1.0,5.3242876141359465
0.7999999999999998,5.333664058198339
0.5999999999999998,5.339999147028881
0.4,5.369242735010622
