10log(frequency) /Hz,phase /degrees
5.0,67.70290128186127
4.8,74.14308488490103
4.6,79.17253454562008
4.4,83.29639359991884
4.199999999999999,83.16296144795456
4.0,89.42141816706528
3.8,87.85456145825
3.5999999999999996,89.53618633373388
3.4,87.87944393792655
3.199999999999999,83.07307311033357
3.0,86.21280229438811
2.8,84.76581454273517
2.5999999999999996,84.07663602091696
2.4,80.85409274413246
2.199999999999999,76.15023664986539
2.0,74.49080564605406
1.7999999999999998,19.839830419497414
1.5999999999999996,43.29400210088399
1.4,57.939447817498944
1.199999999999999,53.49962132887005
1.0,28.963425369473743
0.7999999999999998,39.90190604140452
0.5999999999999998,-18.50122065436995
0.4,69.4611791356452
