10log(frequency) /Hz,10log|Z| /ohm
5.0,5.349361886105217
5.0,5.349361886105217
4.8,5.5618843167335985
4.8,5.5618843167335985
4.6,5.831036555097607
4.6,5.831036555097607
4.4,5.994417899200383
4.4,5.994417899200383
4.199999999999999,6.091263307639762
4.199999999999999,6.091263307639762
4.0,6.400864044663876
4.0,6.400864044663876
3.8,6.620049366447044
3.8,6.620049366447044
3.5999999999999996,6.811168029522004
3.5999999999999996,6.811168029522004
3.4,6.994681891066473
3.4,6.994681891066473
3.4,6.994681891066473
3.0,7.3872415388925186
3.0,7.3872415388925186
2.8,7.54779623347187
2.8,7.54779623347187
2.5999999999999996,7.768719473290496
2.5999999999999996,7.768719473290496
2.4,7.958552918438142
2.4,7.958552918438142
2.199999999999999,8.10930744458468
2.199999999999999,8.10930744458468
2.0,8.339450640471732
2.0,8.339450640471732
2.0,8.339450640471732
2.0,8.339450640471732
2.0,8.339450640471732
1.5999999999999996,8.66981715151889
1.4,9.035889289622299
1.4,9.035889289622299
1.199999999999999,8.667687586038609
1.199999999999999,8.667687586038609
1.0,8.77600000026902
1.0,8.77600000026902
0.7999999999999998,8.675892898336542
0.7999999999999998,8.675892898336542
0.5999999999999998,9.341286614742831
0.5999999999999998,9.341286614742831
0.4,8.668228523275586
0.4,8.668228523275586
0.4,8.668228523275586
5.0,5.349361886105217
5.0,5.349361886105217
4.8,5.5618843167335985
4.8,5.5618843167335985
4.6,5.831036555097607
4.6,5.831036555097607
4.4,5.994417899200383
4.4,5.994417899200383
4.199999999999999,6.091263307639762
4.199999999999999,6.091263307639762
4.0,6.400864044663876
4.0,6.400864044663876
3.8,6.620049366447044
3.8,6.620049366447044
3.5999999999999996,6.811168029522004
3.5999999999999996,6.811168029522004
3.4,6.994681891066473
3.4,6.994681891066473
3.4,6.994681891066473
3.0,7.3872415388925186
3.0,7.3872415388925186
2.8,7.54779623347187
2.8,7.54779623347187
2.5999999999999996,7.768719473290496
2.5999999999999996,7.768719473290496
2.4,7.958552918438142
2.4,7.958552918438142
2.199999999999999,8.10930744458468
2.199999999999999,8.10930744458468
2.0,8.339450640471732
2.0,8.339450640471732
2.0,8.339450640471732
2.0,8.339450640471732
2.0,8.339450640471732
1.5999999999999996,8.66981715151889
1.4,9.035889289622299
1.4,9.035889289622299
1.199999999999999,8.667687586038609
1.199999999999999,8.667687586038609
1.0,8.77600000026902
1.0,8.77600000026902
0.7999999999999998,8.675892898336542
0.7999999999999998,8.675892898336542
0.5999999999999998,9.341286614742831
0.5999999999999998,9.341286614742831
0.4,8.668228523275586
0.4,8.668228523275586
0.4,8.668228523275586
