10log(frequency) /Hz,10log|Z| /ohm
5.0,5.353362618333907
4.8,5.599662144040034
4.6,5.78666113778806
4.4,5.988880969795309
4.199999999999999,6.156098651754012
4.0,6.39612578335156
3.8,6.579567010250654
3.5999999999999996,6.7917367217836455
3.4,6.965735487102097
3.199999999999999,7.146339316481882
3.0,7.363844930866733
2.8,7.629316295420695
2.5999999999999996,7.700300556145059
2.4,8.026109616550698
2.199999999999999,8.263605423871956
2.0,8.320272756651766
1.7999999999999998,8.068967769284056
1.5999999999999996,8.707195472454524
1.4,8.884632311853967
1.199999999999999,8.669936929748525
1.0,8.838882070803894
0.7999999999999998,8.759108514420578
0.5999999999999998,8.731708264612852
0.4,9.1022149501889
