10log(frequency) /Hz,phase /degrees
5.0,19.617871305103748
4.8,87.85644511969436
4.6,14.116930402362327
4.4,11.734924005738172
4.199999999999999,-35.721338275580194
4.0,10.450178277091211
3.8,4.822194331092738
3.5999999999999996,6.925118424584267
3.4,2.8643708916115673
3.199999999999999,-58.84384936174692
3.0,3.676397395780696
2.8,4.070016326958093
2.5999999999999996,4.742271156663684
2.4,5.8184377234469205
2.199999999999999,6.776204991796636
2.0,5.061686748352209
1.7999999999999998,11.033936838773316
1.5999999999999996,4.379183176824337
1.4,4.246086725478372
1.199999999999999,6.404940028489404
1.0,7.775481441963769
0.7999999999999998,8.671991331035782
0.5999999999999998,9.417301826427293
0.4,8.608229553610617
