10log(frequency) /Hz,10log|Z| /ohm
5.0,5.320497724425072
4.8,5.5598238038488255
4.6,5.755957566021448
4.4,5.976948470941943
4.199999999999999,6.151800961943468
4.0,6.368039289295102
3.8,6.559734433199557
3.5999999999999996,6.758784091060001
3.4,6.947628816528657
3.199999999999999,7.096265808960125
3.0,7.344603015830058
2.8,7.533419310890692
2.5999999999999996,7.7294621161188255
2.4,7.961065445287757
2.199999999999999,8.162412110122675
2.0,8.230345141737534
1.7999999999999998,8.26276788725031
1.5999999999999996,8.40087589983557
1.4,8.404824072072643
1.199999999999999,8.538207923501215
1.0,8.561176605682165
0.7999999999999998,8.6892707307631
0.5999999999999998,8.607716084116904
0.4,8.645062217820048
