10log(frequency) /Hz,10log|Z| /ohm
5.0,5.368840854872472
4.8,5.597943478386356
4.6,5.808442705320279
4.4,6.02801211883646
4.199999999999999,6.217991413901396
4.0,6.434477027448271
3.8,6.631800765810556
3.5999999999999996,6.836269636566292
3.4,7.010301422682945
3.199999999999999,7.2481162603751255
3.0,7.4051924403116045
2.8,7.579480025557531
2.5999999999999996,7.764691315197507
2.4,7.932630317002337
2.199999999999999,8.065144832368347
2.0,7.965651463788029
1.7999999999999998,8.031165054889584
1.5999999999999996,8.714142428449158
1.4,8.908898995413475
1.199999999999999,8.734047002587658
1.0,8.812530016719217
0.7999999999999998,8.749707331185935
0.5999999999999998,8.862868179686622
0.4,8.830889388094862
0.19999999999999907,9.316693812716759
