Timestamp,,Depth [cm],Force [Pounds/Raw],Force [Offset]
0.01,0.946475074,0.054849885,-4.63445272,0.36554728
0.02,0.909669482,0.055427252,-3.765079775,1.234920225
0.02,0.860175906,0.056004619,-6.401079375,-1.401079375
0.02,0.904949135,0.056581986,-4.719585965,0.280414035
0.02,0.948866558,0.057159353,-4.676944795,0.323055205
0.02,0.961327918,0.057736721,-2.916729225,2.083270775
0.02,0.952734082,0.058314088,-6.737437695,-1.737437695
0.02,1.046905466,0.058891455,-5.523506205,-0.523506205
0.02,1.074165996,0.059468822,-4.320309555,0.679690445
0.02,1.099085734,0.060046189,-1.92241467,3.07758533
0.02,1.084396895,0.060623557,-2.356430215,2.643569785
0.02,1.075958118,0.061200924,-2.26801688,2.73198312
0.02,1.037103961,0.061778291,-6.126744575,-1.126744575
0.02,1.046956159,0.062355658,-3.26874252,1.73125748
0.02,1.012425757,0.062933025,-1.191700075,3.808299925
0.02,0.956476367,0.063510393,-4.99168434,0.00831566
0.02,0.982162453,0.06408776,-3.84424922,1.15575078
0.02,0.977111115,0.064665127,-4.755666955,0.244333045
0.02,0.965905135,0.065242494,-5.472963,-0.472963
0.02,0.988475136,0.065819861,-3.41903028,1.58096972
0.02,1.006038527,0.066397229,-3.95428133,1.04571867
0.02,0.980880236,0.066974596,-3.710212815,1.289787185
0.02,1.006864513,0.067551963,-6.02938554,-1.02938554
0.02,1.066326581,0.06812933,-3.711703765,1.288296235
0.02,1.077058439,0.068706697,-4.6290853,0.3709147
0.02,1.105392453,0.069284065,-3.68173567,1.31826433
0.02,1.077911262,0.069861432,-2.91061633,2.08938367
0.02,1.059253514,0.070438799,-5.36084356,-0.36084356
0.02,1.102055707,0.071016166,-2.99112763,2.00887237
0.02,1.059861822,0.071593533,-3.642821875,1.357178125
0.02,1.056620496,0.072170901,-4.92697711,0.07302289
0.02,1.088890618,0.072748268,-3.225355875,1.774644125
0.02,1.086839071,0.073325635,-5.006444745,-0.006444745
0.02,1.083046094,0.073903002,-7.01818358,-2.01818358
0.02,1.146861736,0.07448037,-3.7822257,1.2177743
0.02,1.127324327,0.075057737,-3.874813695,1.125186305
0.02,1.117027827,0.075635104,-5.409895815,-0.409895815
0.02,1.143355022,0.076212471,-4.75253596,0.24746404
0.02,1.074637136,0.076789838,-3.81413203,1.18586797
0.02,1.048262231,0.077367206,-3.357454045,1.642545955
0.02,1.037736124,0.077944573,-2.16394857,2.83605143
0.02,0.96919417,0.07852194,-4.063866155,0.936133845
0.02,0.959467212,0.079099307,-3.48582484,1.51417516
0.02,0.966999492,0.079676674,-3.059562235,1.940437765
0.02,0.934168773,0.080254042,-4.33208806,0.66791194
0.02,0.973696839,0.080831409,-3.631490655,1.368509345
0.02,0.966641664,0.081408776,-2.43053043,2.56946957
0.02,0.895329525,0.081986143,-3.320776675,1.679223325
0.02,0.917225617,0.08256351,-3.998264355,1.001735645
0.02,0.954511295,0.083140878,-3.087293905,1.912706095
0.02,0.911315491,0.083718245,-6.474732305,-1.474732305
0.02,0.965389266,0.084295612,-6.239758585,-1.239758585
0.02,0.979878318,0.084872979,-4.16241795,0.83758205
0.02,0.967664456,0.085450346,-2.523714805,2.476285195
0.02,0.910996428,0.086027714,-4.05387679,0.94612321
0.02,0.911482478,0.086605081,-3.346421015,1.653578985
0.02,0.940320433,0.087182448,-2.0288685,2.9711315
0.02,0.882480518,0.087759815,-4.160479715,0.839520285
0.02,0.88295464,0.088337182,-3.07432264,1.92567736
0.02,0.865394231,0.08891455,-2.65685664,2.34314336
0.02,0.820111098,0.089491917,-2.778369065,2.221630935
0.02,0.779628823,0.090069284,-4.21072473,0.78927527
0.02,0.763299939,0.090646651,-5.634134695,-0.634134695
0.02,0.846581424,0.091224018,-4.99526262,0.00473738
0.02,0.819967967,0.091801386,-3.98916956,1.01083044
0.02,0.832846793,0.092378753,-3.70738001,1.29261999
0.02,0.827795454,0.09295612,-4.09681615,0.90318385
0.02,0.885018115,0.093533487,-5.315965965,-0.315965965
0.02,0.899775538,0.094110855,-4.344462945,0.655537055
0.02,0.859513924,0.094688222,-2.54086073,2.45913927
0.02,0.822105989,0.095265589,-5.212195845,-0.212195845
0.02,0.854197197,0.095842956,-2.410998985,2.589001015
0.02,0.847145003,0.096420323,-3.056282145,1.943717855
0.02,0.836866394,0.096997691,-3.17511086,1.82488914
0.02,0.862707539,0.097575058,-3.21238461,1.78761539
0.02,0.806573272,0.098152425,-5.05579519,-0.05579519
0.02,0.836180557,0.098729792,-3.843503745,1.156496255
0.02,0.842552877,0.099307159,-3.22073393,1.77926607
0.02,0.857155242,0.099884527,-5.10082188,-0.10082188
0.02,0.887284359,0.100461894,-3.80488814,1.19511186
0.02,0.899459457,0.101039261,-3.31347102,1.68652898
0.02,0.907298872,0.101616628,-3.327933235,1.672066765
0.02,0.878377424,0.102193995,-5.196093585,-0.196093585
0.02,0.960788194,0.102771363,-3.827401485,1.172598515
0.02,0.923976639,0.10334873,-4.75909614,0.24090386
0.02,0.911446695,0.103926097,-4.38963873,0.61036127
0.02,0.940848229,0.104503464,-4.09353606,0.90646394
0.02,0.918844789,0.105080831,-8.188430235,-3.188430235
0.02,1.026908845,0.105658199,-5.132877305,-0.132877305
0.02,1.099011187,0.106235566,-3.883759395,1.116240605
0.02,1.071729784,0.106812933,-5.59104624,-0.59104624
0.02,1.096339404,0.1073903,-4.550214045,0.449785955
0.02,1.113491293,0.107967667,-3.10921087,1.89078913
0.02,1.135312837,0.108545035,-4.701098185,0.298901815
0.02,1.179945917,0.109122402,-2.35568474,2.64431526
0.02,1.160545675,0.109699769,-3.984249425,1.015750575
0.02,1.165066236,0.110277136,-5.996137355,-0.996137355
0.02,1.220508702,0.110854503,-2.22597209,2.77402791
0.02,1.176597243,0.111431871,-2.133980475,2.866019525
0.02,1.169211077,0.112009238,-5.247084075,-0.247084075
0.02,1.193188535,0.112586605,-3.771043575,1.228956425
0.02,1.181523342,0.113163972,-5.51530598,-0.51530598
0.02,1.252248046,0.113741339,-4.77311107,0.22688893
0.02,1.268782681,0.114318707,-5.357116185,-0.357116185
0.02,1.328942514,0.114896074,-4.029574305,0.970425695
0.02,1.291155877,0.115473441,-1.90452327,3.09547673
0.02,1.28003339,0.116050808,-4.920864215,0.079135785
0.02,1.300691993,0.116628176,-4.13677361,0.86322639
0.02,1.298017229,0.117205543,-3.952343095,1.047656905
0.02,1.349604099,0.11778291,-4.92101331,0.07898669
0.02,1.366949811,0.118360277,-4.802482785,0.197517215
0.02,1.349293981,0.118937644,-5.02716895,-0.02716895
0.02,1.360085478,0.119515012,-1.47006044,3.52993956
0.02,1.297221062,0.120092379,-6.325935495,-1.325935495
0.02,1.336594069,0.120669746,-3.345228255,1.654771745
0.02,1.349523588,0.121247113,-3.95994694,1.04005306
0.02,1.326342297,0.12182448,-1.2356831,3.7643169
0.02,1.271588649,0.122401848,-4.57809481,0.42190519
0.02,1.26667746,0.122979215,-6.357543635,-1.357543635
0.02,1.290717538,0.123556582,-4.411257505,0.588742495
0.02,1.268800573,0.124133949,-3.607635455,1.392364545
0.02,1.261002904,0.124711316,-2.76360866,2.23639134
0.02,1.153451735,0.125288684,-3.57021261,1.42978739
0.02,1.103570512,0.125866051,-1.88305359,3.11694641
0.02,1.053930823,0.126443418,-6.019097985,-1.019097985
0.02,1.089167935,0.127020785,-3.575430935,1.424569065
0.02,1.102502992,0.127598152,-3.52488773,1.47511227
0.02,1.076342783,0.12817552,-2.490615715,2.509384285
0.02,1.068795594,0.128752887,-3.594366,1.405634
0.02,1.064570242,0.129330254,-3.196133255,1.803866745
0.02,1.018553561,0.129907621,-2.921500265,2.078499735
0.02,0.985499199,0.130484988,-4.77400564,0.22599436
0.02,1.029204908,0.131062356,-1.07555507,3.92444493
0.02,0.981276829,0.131639723,-5.66797926,-0.66797926
0.02,0.980930929,0.13221709,-5.38559333,-0.38559333
0.02,1.008579106,0.132794457,-2.91956203,2.08043797
0.02,0.998607632,0.133371824,-5.193708065,-0.193708065
0.02,0.993979723,0.133949192,-2.785227435,2.214772565
0.02,0.977474907,0.134526559,-1.527760205,3.472239795
0.02,0.939396044,0.135103926,-5.24782955,-0.24782955
