Timestamp (seconds),Torque [Raw Reading],Torque [Absolute Value]
0.01,2.243052475,2.243052475
0.01,2.1568929050000003,2.1568929050000003
0.01,2.215028255,2.215028255
0.01,2.217413295,2.217413295
0.01,2.2260590650000003,2.2260590650000003
0.01,2.2603440150000003,2.2603440150000003
0.02,2.2205436600000006,2.2205436600000006
0.02,2.2807659200000003,2.2807659200000003
0.02,2.257362715,2.257362715
0.02,2.187004035,2.187004035
0.02,2.2414127600000002,2.2414127600000002
0.02,2.241263695,2.241263695
0.02,2.23992211,2.23992211
0.02,2.177762005,2.177762005
0.02,2.29835559,2.29835559
0.03,2.187004035,2.187004035
0.03,2.1634517650000005,2.1634517650000005
0.03,2.1923703750000003,2.1923703750000003
0.03,2.2434996700000003,2.2434996700000003
0.03,2.2181586200000005,2.2181586200000005
0.03,2.2353010950000005,2.2353010950000005
0.03,2.23634455,2.23634455
0.03,2.2353010950000005,2.2353010950000005
0.03,2.2051899649999998,2.2051899649999998
0.03,2.2461828400000003,2.2461828400000003
0.03,2.20414651,2.20414651
0.03,2.2124941500000004,2.2124941500000004
0.03,2.176271355,2.176271355
0.03,2.2731636050000006,2.2731636050000006
0.03,2.2350029650000005,2.2350029650000005
0.03,2.26436877,2.26436877
0.03,2.221288985,2.221288985
0.04,2.26675381,2.26675381
0.04,2.2680953950000005,2.2680953950000005
0.04,2.1935628950000003,2.1935628950000003
0.04,2.22829504,2.22829504
0.04,2.2083203300000003,2.2083203300000003
0.04,2.20027082,2.20027082
0.04,2.2317235350000004,2.2317235350000004
0.04,2.26496503,2.26496503
0.04,2.19222131,2.19222131
0.04,2.2736108,2.2736108
0.04,2.22501561,2.22501561
0.04,2.2397730449999997,2.2397730449999997
0.04,2.22382309,2.22382309
0.04,2.223674025,2.223674025
0.04,2.2706295,2.2706295
0.04,2.1959479350000004,2.1959479350000004
0.06,2.221288985,2.221288985
0.06,2.15644571,2.15644571
0.06,2.178060135,2.178060135
0.06,2.20414651,2.20414651
0.06,2.2160717100000005,2.2160717100000005
0.06,2.153613475,2.153613475
0.06,2.1880474899999998,2.1880474899999998
0.06,2.2229286999999998,2.2229286999999998
0.06,2.22620813,2.22620813
0.06,2.1740353800000003,2.1740353800000003
0.06,2.2367917450000006,2.2367917450000006
0.06,2.1956498050000004,2.1956498050000004
0.06,2.13498035,2.13498035
0.06,2.2654122250000004,2.2654122250000004
0.06,2.2133885400000004,2.2133885400000004
0.06,2.23723894,2.23723894
0.06,2.2251646750000003,2.2251646750000003
0.06,2.19430822,2.19430822
0.06,2.20533903,2.20533903
0.06,2.210556305,2.210556305
0.06,2.1880474899999998,2.1880474899999998
0.07,2.1899853350000003,2.1899853350000003
0.07,2.15763823,2.15763823
0.07,2.213835735,2.213835735
0.07,2.1785073300000004,2.1785073300000004
0.07,2.1045710900000003,2.1045710900000003
0.07,2.130359335,2.130359335
0.07,2.1685199749999997,2.1685199749999997
0.07,2.1700106249999997,2.1700106249999997
0.07,2.1977367150000005,2.1977367150000005
0.07,2.207575005,2.207575005
0.07,2.1472036800000005,2.1472036800000005
0.07,2.16061953,2.16061953
0.07,2.2172642300000005,2.2172642300000005
0.07,2.186109645,2.186109645
0.07,2.20384838,2.20384838
0.07,2.142284535,2.142284535
0.07,2.1808923700000005,2.1808923700000005
0.07,2.179550785,2.179550785
0.07,2.177463875,2.177463875
0.07,2.19132692,2.19132692
0.07,2.1616629850000004,2.1616629850000004
0.07,2.1692653,2.1692653
0.07,2.2470772300000004,2.2470772300000004
0.07,2.2816603100000004,2.2816603100000004
0.07,2.2057862249999998,2.2057862249999998
0.07,2.19043253,2.19043253
0.07,2.2104072400000003,2.2104072400000003
0.07,2.132744375,2.132744375
0.07,2.12573832,2.12573832
0.07,2.097863165,2.097863165
0.07,2.1722466000000002,2.1722466000000002
0.07,2.1442223800000004,2.1442223800000004
0.07,2.206978745,2.206978745
0.07,2.1901344,2.1901344
0.08,2.1731409900000003,2.1731409900000003
0.08,2.2323197950000004,2.2323197950000004
0.08,2.171203145,2.171203145
