Timestamp (seconds),Torque [Pound-inches],Torque [Raw Reading]
0.01,-2.600029348424,0.00019553004310000002
0.01,-2.5897804671439992,0.00019576861110000003
0.01,-2.636925321031999,0.00019467119830000003
0.01,-2.6055381221119998,0.00019540181280000002
0.01,-2.600029348424,0.00019553004310000002
0.01,-2.5936237976239997,0.00019567914810000002
0.01,-2.582093806183998,0.00019594753710000003
0.012,-2.5905491332399997,0.00019575071850000002
0.012,-2.60271967976,0.000195467419
0.012,-2.637309654079999,0.000194662252
0.012,-2.5963141289599996,0.000195616524
0.012,-2.649095867551999,0.00019438789880000002
0.019,-2.6382064311919997,0.0001946413773
0.019,-2.6078441203999994,0.00019534813500000003
0.019,-2.6588323047679996,0.00019416125920000002
0.019,-2.6453806480879987,0.00019447437970000002
0.019,-2.583631138375999,0.00019591175190000003
0.019,-2.6305197702319987,0.00019482030330000003
0.019,-2.5726135909999996,0.00019616821250000003
0.019,-2.5779942536719993,0.00019604296430000002
0.019,-2.5426356132559995,0.00019686602390000003
0.019,-2.566848595279998,0.00019630240700000003
0.019,-2.622320665207999,0.0001950111577
0.019,-2.6301354371839984,0.00019482924960000003
0.019,-2.67125907332,0.0001938719955
0.019,-2.5929832425439994,0.00019569405860000002
0.019,-2.674205626687998,0.00019380340720000002
0.019,-2.5911896883199983,0.00019573580800000002
0.029,-2.5692827045839994,0.00019624574710000003
0.029,-2.636797210015999,0.00019467418040000002
0.029,-2.6588323047679996,0.00019416125920000002
0.029,-2.6293667710879998,0.0001948471422
0.029,-2.621936332159999,0.00019502010400000003
0.029,-2.642690316751999,0.00019453700380000003
0.029,-2.5842716934559995,0.00019589684140000003
0.029,-2.672412072463999,0.00019384515660000003
0.029,-2.5783785867199995,0.00019603401800000002
0.029,-2.579019141799998,0.00019601910750000003
0.029,-2.5901648001919995,0.0001957596648
0.029,-2.603104012808,0.00019545847270000002
0.04,-2.625267218575999,0.00019494256940000003
0.041,-2.626548328735998,0.00019491274840000003
0.041,-2.608612786496,0.00019533024240000002
0.041,-2.575688255383998,0.00019609664210000003
0.041,-2.6808673995199985,0.00019364833800000002
0.041,-2.583246805327999,0.00019592069820000002
0.041,-2.5779942536719993,0.00019604296430000002
0.041,-2.6228331092719994,0.00019499922930000003
0.041,-2.657679305623999,0.00019418809810000002
0.041,-2.6663908547119988,0.0001939853153
0.041,-2.661010192039999,0.00019411056350000002
0.041,-2.635644210871998,0.00019470101930000003
0.041,-2.6022072356959995,0.00019547934740000002
0.041,-2.607203565319999,0.00019536304550000003
0.041,-2.624114219432,0.0001949694083
0.041,-2.6230893313039996,0.00019499326510000003
0.056,-2.602335346711998,0.00019547636530000003
0.057,-2.624754774511999,0.0001949544978
0.057,-2.620527110984,0.00019505290710000001
0.057,-2.635644210871998,0.00019470101930000003
0.057,-2.6197584448879994,0.00019507079970000003
0.057,-2.616171336439999,0.0001951542985
0.057,-2.5639020419119998,0.00019637099530000002
0.057,-2.593751908639998,0.00019567616600000003
0.057,-2.604257011951999,0.0001954316338
0.057,-2.6018229026479993,0.0001954882937
0.057,-2.5943924637199984,0.00019566125550000003
0.057,-2.6068192322719987,0.00019537199180000002
0.057,-2.6803549554559982,0.00019366026640000003
0.057,-2.568770260519999,0.0001962576755
0.057,-2.587858801904,0.00019581334260000002
0.057,-2.590421022223998,0.00019575370060000003
0.057,-2.607459787351999,0.00019535708130000002
0.057,-2.605410011095998,0.00019540479490000003
0.057,-2.607331676335999,0.0001953600634
0.057,-2.6376939871279994,0.00019465330570000002
0.073,-2.6453806480879987,0.00019447437970000002
0.073,-2.6155307813599986,0.00019516920900000003
0.073,-2.593880019656,0.00019567318390000001
0.073,-2.6038726789039988,0.00019544058010000003
0.073,-2.605922455159998,0.00019539286650000002
0.073,-2.642690316751999,0.00019453700380000003
0.073,-2.6392313193199985,0.00019461752050000002
0.073,-2.608484675479998,0.00019533322450000003
0.073,-2.647302313327998,0.00019442964820000003
0.073,-2.5965703509919997,0.0001956105598
0.073,-2.586193358695999,0.0001958521099
