Timestamp (seconds),Torque [Pound-inches],Torque [Raw Reading]
0.02,-2.70136516208,0.00019317120200000002
0.02,-2.7177633721279992,0.00019278949320000003
0.02,-2.6752305148160005,0.0001937795504
0.02,-2.6555014183519994,0.00019423879380000002
0.02,-2.629751104136,0.00019483819590000002
0.02,-2.6715152953519983,0.00019386603130000003
0.02,-2.698162386679998,0.00019324575450000003
0.02,-2.671130962304,0.00019387497760000002
0.02,-2.696368832455999,0.0001932875039
0.02,-2.6939347231519992,0.0001933441638
0.02,-2.600029348424,0.00019553004310000002
0.02,-2.690860058767999,0.0001934157342
0.02,-2.7059771586559993,0.00019306384640000002
0.03,-2.7109734882799987,0.00019294754450000003
0.03,-2.6838139528880003,0.0001935797497
0.03,-2.6717715173839984,0.00019386006710000003
0.03,-2.6790738452959992,0.00019369008740000002
0.03,-2.691756835879998,0.00019339485950000003
0.03,-2.703927382399998,0.00019311156000000003
0.03,-2.683301508824,0.00019359167810000002
0.03,-2.6560138624159997,0.0001942268654
0.03,-2.7020057171599987,0.00019315629150000002
0.03,-2.720581814479999,0.000192723887
0.03,-2.68022684444,0.00019366324850000002
0.03,-2.696240721439999,0.00019329048600000002
0.03,-2.681507954599999,0.00019363342750000002
0.03,-2.651529976855999,0.00019433123890000002
0.03,-2.624114219432,0.0001949694083
0.03,-2.681379843583999,0.0001936364096
0.03,-2.6529391980319996,0.0001942984358
0.03,-2.6613945250879993,0.00019410161720000003
0.03,-2.6957282773759985,0.00019330241440000003
0.03,-2.720581814479999,0.000192723887
0.03,-2.7048241595119986,0.00019309068530000003
0.03,-2.720709925495999,0.00019272090490000002
0.03,-2.6798425113919997,0.0001936721948
0.03,-2.7210942585439994,0.00019271195860000003
0.03,-2.6647254115039996,0.00019402408260000003
0.03,-2.668440630967998,0.00019393760170000003
0.03,-2.6364128769679986,0.0001946831267
0.03,-2.705720936623999,0.00019306981060000002
0.03,-2.7191725933039983,0.00019275669010000002
0.03,-2.7222472576879984,0.00019268511970000002
0.03,-2.7641395599199985,0.00019170997300000002
0.04,-2.7283965864559985,0.00019254197890000003
0.04,-2.6958563883919986,0.00019329943230000002
0.04,-2.6999559409039993,0.00019320400510000003
0.04,-2.683173397807998,0.00019359466020000003
0.04,-2.673052627543999,0.00019383024610000003
0.04,-2.7090518230399994,0.00019299227600000002
0.04,-2.660753970007999,0.00019411652770000003
0.04,-2.689194615559998,0.00019345450150000002
0.04,-2.7050803815439988,0.00019308472110000002
0.04,-2.678561401231999,0.00019370201580000003
0.04,-2.6602415259440004,0.0001941284561
0.04,-2.7373643575759985,0.00019233323190000003
0.04,-2.684966952031999,0.00019355291080000003
0.04,-2.6262921067039997,0.0001949187126
0.04,-2.666647076743999,0.00019397935110000003
0.04,-2.7240408119119994,0.00019264337030000002
0.04,-2.7076426018639985,0.00019302507910000003
0.04,-2.7029024942719992,0.00019313541680000002
0.04,-2.6824047317119994,0.00019361255280000002
0.04,-2.6688249640160002,0.0001939286554
0.05,-2.6626756352479983,0.00019407179620000003
0.05,-2.6931660570559988,0.00019336205640000002
0.05,-2.678433290215999,0.00019370499790000002
0.05,-2.7193007043199984,0.00019275370800000003
0.05,-2.6885540604799996,0.00019346941200000002
0.05,-2.666518965727999,0.00019398233320000002
0.05,-2.7193007043199984,0.00019275370800000003
0.05,-2.72186292464,0.00019269406600000002
0.05,-2.7491505710479984,0.00019205887870000002
0.05,-2.705592825607999,0.0001930727927
0.05,-2.6539640861599985,0.00019427457900000002
0.05,-2.7016213841120003,0.0001931652378
0.05,-2.678689512247999,0.00019369903370000002
0.05,-2.716354150952,0.00019282229630000002
0.06,-2.7046960484959985,0.00019309366740000001
0.06,-2.6453806480879987,0.00019447437970000002
0.06,-2.6720277394159986,0.00019385410290000002
0.06,-2.6598571928959984,0.00019413740240000003
0.06,-2.720581814479999,0.000192723887
0.06,-2.658063638671999,0.00019417915180000003
0.06,-2.6809955105359986,0.00019364535590000003
0.06,-2.657679305623999,0.00019418809810000002
0.06,-2.7046960484959985,0.00019309366740000001
0.06,-2.7034149383359996,0.0001931234884
0.06,-2.702774383255999,0.00019313839890000003
0.06,-2.7119983764079993,0.0001929236877
0.06,-2.701108940048,0.00019317716620000002
0.06,-2.6506331997439982,0.00019435211360000002
0.06,-2.699315385823999,0.00019321891560000003
0.06,-2.618861667775999,0.00019509167440000003
0.07,-2.703799271384,0.00019311454210000002
0.07,-2.725193811056,0.0001926165314
0.07,-2.6811236215519987,0.00019364237380000001
0.07,-2.738133023671999,0.00019231533930000002
0.07,-2.6808673995199985,0.00019364833800000002
0.07,-2.7241689229279995,0.00019264038820000003
0.07,-2.6660065216639985,0.00019399426160000003
0.07,-2.675358625831999,0.00019377656830000002
0.07,-2.6734369605919994,0.0001938212998
0.07,-2.7181477051759995,0.0001927805469
0.07,-2.6915006138479995,0.0001934008237
0.07,-2.712767042504,0.00019290579510000002
0.07,-2.6825328427279995,0.00019360957070000003
0.07,-2.6553733073359993,0.0001942417759
0.07,-2.665750299632,0.0001940002258
0.07,-2.708667489991999,0.0001930012223
0.08,-2.6857356181279997,0.00019353501820000002
0.08,-2.6900913926719987,0.00019343362680000002
0.08,-2.699827829887999,0.00019320698720000002
0.08,-2.687913505399999,0.00019348432250000002
0.08,-2.7058490476399992,0.0001930668285
0.08,-2.6977780536319997,0.00019325470080000002
0.08,-2.7510722362879996,0.00019201414720000003
0.08,-2.677408402088,0.0001937288547
0.08,-2.6948315002639998,0.0001933232891
0.08,-2.6435870938639994,0.00019451612910000002
0.08,-2.707386379832,0.0001930310433
0.08,-2.7512003473039996,0.0001920111651
0.08,-2.6539640861599985,0.00019427457900000002
0.08,-2.6957282773759985,0.00019330241440000003
0.08,-2.675742958879999,0.00019376762200000003
0.08,-2.696753165503999,0.00019327855760000002
0.08,-2.6803549554559982,0.00019366026640000003
0.08,-2.6956001663599984,0.00019330539650000002
0.09,-2.681764176631999,0.00019362746330000002
0.09,-2.7093080450719995,0.00019298631180000002
0.09,-2.669977963159999,0.00019390181650000003
0.09,-2.7346740262399987,0.000192395856
0.09,-2.710204822184,0.00019296543710000001
0.09,-2.6827890647599997,0.00019360360650000003
0.09,-2.708283156943999,0.00019301016860000003
0.09,-2.7296776966159992,0.00019251215790000003
0.09,-2.7253219220719984,0.00019261354930000002
0.09,-2.710076711167998,0.00019296841920000003
0.09,-2.629494882104,0.00019484416010000002
0.09,-2.6912443918159994,0.00019340678790000002
0.09,-2.714688707743999,0.00019286106360000003
0.09,-2.6628037462639984,0.00019406881410000002
0.09,-2.670106074175999,0.00019389883440000001
0.09,-2.7090518230399994,0.00019299227600000002
0.1,-2.668440630967998,0.00019393760170000003
0.1,-2.6745899597359983,0.00019379446090000003
0.1,-2.6783051791999988,0.00019370798
0.1,-2.687657283367999,0.00019349028670000002
0.1,-2.6522986429519992,0.0001943133463
0.1,-2.7018776061440004,0.0001931592736
0.1,-2.702390050207999,0.00019314734520000003
0.1,-2.7118702653919993,0.00019292666980000003
0.1,-2.702133828175999,0.00019315330940000003
0.1,-2.624882885527999,0.00019495151570000002
0.1,-2.6916287248639996,0.00019339784160000002
0.1,-2.714560596727999,0.00019286404570000002
0.1,-2.704055493416,0.0001931085779
0.1,-2.689322726576,0.0001934515194
0.1,-2.6826609537439996,0.00019360658860000001
0.1,-2.705464714591999,0.00019307577480000003
0.1,-2.7029024942719992,0.00019313541680000002
0.11,-2.6913725028319995,0.00019340380580000003
0.11,-2.6524267539679993,0.00019431036420000002
0.11,-2.699571607855999,0.00019321295140000002
0.11,-2.6675438538559995,0.00019395847640000003
0.11,-2.7014932730959984,0.00019316821990000003
0.11,-2.672924516527999,0.00019383322820000002
0.11,-2.6200146669199995,0.00019506483550000002
0.11,-2.702261939191999,0.00019315032730000002
0.11,-2.6922692799439982,0.00019338293110000002
0.11,-2.6676719648719995,0.00019395549430000002
0.11,-2.7076426018639985,0.00019302507910000003
0.11,-2.675358625831999,0.00019377656830000002
