Timestamp (seconds),Torque [Pound-inches],Torque [Raw Reading]
0.01,0.5791792589360014,0.00020435705910000002
0.01,3.2745069245600025,0.00026709746100000005
0.01,3.601446237392002,0.00027470778020000005
0.01,3.0182848925600023,0.000261133261
0.01,2.6881428043280025,0.00025344838930000004
0.01,5.671079700872001,0.0003228836057
0.01,1.387944102944001,0.00022318305640000002
0.01,4.709862747824001,0.0003005089094
0.01,3.3872446186400023,0.00026972170900000004
0.01,1.3388775838160019,0.00022204091210000003
0.01,0.627733334000002,0.00020548727500000003
0.01,0.6466937643680026,0.00020592862580000003
0.01,0.9774764076800011,0.00021362840800000002
0.01,4.146046166408002,0.0002873846873
0.01,0.07775274231200235,0.00019268511970000002
0.02,-0.019995962895997366,0.00019040977740000003
0.021,-0.8392659102159987,0.00017133924790000001
0.021,1.9306223667200015,0.00023581523200000003
0.021,2.1359843253680015,0.00024059553830000003
0.021,-0.5671581122319989,0.00017767322830000002
0.021,-1.9724078467359991,0.0001449625734
0.021,0.10324683449600158,0.00019327855760000002
0.021,-1.0024793445999984,0.00016754005250000002
0.021,3.7328881398080007,0.0002777674148
0.021,2.234757918704002,0.0002428947374
0.021,5.921536737152001,0.0003287136112
0.021,2.2830557717360023,0.00024401898910000002
0.021,-0.8118501527919983,0.00017197741730000003
0.021,-1.2619041519999987,0.0001615013
0.031,4.560613414184001,0.0002970347629
0.031,4.318099260896002,0.0002913896476
0.031,3.376739515328003,0.00026947717680000005
0.031,0.15077602143200153,0.0001943849167
0.031,2.0434881718160014,0.00023844246210000003
0.031,-1.415637371199999,0.00015792278
0.031,-1.675702733679998,0.00015186911700000003
0.031,3.840757615280003,0.00028027834300000005
0.031,3.2164726343120016,0.00026574656970000004
0.031,1.493891913176002,0.00022564925310000002
0.031,3.5826139180400016,0.00027426941150000004
0.031,3.913780894400002,0.00028197814000000004
0.031,1.8997476118640009,0.00023509654590000002
0.031,-0.30453052943199843,0.00018378653330000002
0.031,4.123242405560003,0.00028685387350000003
0.031,1.0405070275520014,0.00021509560120000002
0.031,-1.0470619781679993,0.0001665022817
0.031,0.5084619781040018,0.00020271093990000002
0.041,1.1135303066720024,0.00021679539820000003
0.041,3.7299415864400025,0.00027769882650000005
0.041,0.6994755029600022,0.00020715725100000002
0.041,1.0856021051840017,0.0002161453004
0.041,0.9061185717680011,0.00021196737830000002
0.041,1.2458689862000014,0.00021987590750000002
0.041,3.204942642872002,0.00026547818070000003
