Timestamp (seconds),Torque [Pound-inches/Raw],,
0.022,0.215620315,1.368600254,1.368600254
0.022,3.084967965,1.395779113,1.395779113
0.022,0.681693575,1.352231507,1.352231507
0.022,0.019696345,1.385234408,1.385234408
0.022,1.378908555,1.399002184,1.399002184
0.022,1.01884895,1.403403763,1.403403763
0.022,1.995308625,1.403635788,1.403635788
0.022,0.83124589,1.381043398,1.381043398
0.022,3.19157804,1.408190034,1.408190034
0.022,1.98024902,1.362967067,1.362967067
0.022,1.081622155,1.343822564,1.343822564
0.022,1.072945095,1.335880653,1.335880653
0.022,2.38939314,1.339790186,1.339790186
0.022,3.61950939,1.311355862,1.311355862
0.022,2.873566045,1.253327758,1.253327758
0.022,0.453890105,1.237719446,1.237719446
0.022,1.61911671,1.240808322,1.240808322
0.022,2.039174465,1.221368592,1.221368592
0.022,1.33077661,1.234757642,1.234757642
0.022,0.370987725,1.261282842,1.261282842
0.022,1.38740754,1.308620118,1.308620118
0.022,0.156872945,1.300142007,1.300142007
0.022,2.662702605,1.312493866,1.312493866
0.022,2.28352859,1.262827569,1.262827569
0.022,2.10821008,1.227985292,1.227985292
0.022,1.881392405,1.221248149,1.221248149
0.022,1.11842212,1.206033475,1.206033475
0.022,0.07352325,1.202326725,1.202326725
0.022,1.612406985,1.212700871,1.212700871
0.022,1.978310655,1.188053815,1.188053815
0.022,0.95559946,1.17407373,1.17407373
0.022,1.696203995,1.168392829,1.168392829
0.022,0.525460505,1.138163861,1.138163861
0.022,0.135671065,1.144759687,1.144759687
0.022,1.54694989,1.199424562,1.199424562
0.022,0.79161293,1.190615439,1.190615439
0.022,0.745837695,1.192371316,1.192371316
0.022,0.110948605,1.178277911,1.178277911
0.022,0.681722545,1.195179875,1.195179875
0.022,3.83869374,1.21937067,1.21937067
0.022,0.711245335,1.160008987,1.160008987
0.022,0.918501285,1.163196273,1.163196273
0.022,0.19098902,1.194483887,1.194483887
0.022,0.85778658,1.214341691,1.214341691
0.022,0.76745792,1.198411892,1.198411892
0.022,0.35082958,1.20239896,1.20239896
